"","team","avg_score","avg_auto_game_piece_points","avg_auto_points","count_auto_dock","count_auto_level","avg_tele_game_piece_points","avg_tele_points","count_tele_dock","count_auto_balance"
"1","frc1086","56.1111111111111","6.44444444444444","14.7777777777778","0","7","16.5555555555556","34.1111111111111","4","9"
"2","frc122","69","7.55555555555556","15","0","4","23.5555555555556","43.7777777777778","5","8"
"3","frc1262","62","6.77777777777778","16.5555555555556","0","6","21.2222222222222","35.4444444444444","4","4"
"4","frc1629","78.25","9.625","19.625","4","1","28.75","46.5","3","6"
"5","frc1731","99.5555555555556","8.44444444444444","22.8888888888889","6","7","38.2222222222222","55.3333333333333","4","8"
"6","frc1885","58.7777777777778","8.22222222222222","20.8888888888889","0","7","15.7777777777778","28.2222222222222","1","7"
"7","frc1915","45.375","6.125","13.375","0","3","13","27","3","8"
"8","frc2028","63","8.66666666666667","19.2222222222222","0","7","23.1111111111111","33.7777777777778","4","6"
"9","frc2106","89.7777777777778","11.5555555555556","24.5555555555556","5","5","32.8888888888889","48","7","4"
"10","frc2363","114.555555555556","15.4444444444444","31.2222222222222","9","7","43.3333333333333","61.1111111111111","6","7"
"11","frc3136","87.6666666666667","10.1111111111111","22.8888888888889","2","5","32.6666666666667","49.3333333333333","5","7"
"12","frc3359","45.6666666666667","4.77777777777778","12.4444444444444","0","9","12.5555555555556","27.6666666666667","5","8"
"13","frc3361","66.25","9.5","19.625","0","8","21.875","35.125","0","5"
"14","frc3373","78.125","10.375","18.25","0","5","28.875","44.625","5","5"
"15","frc346","73.5555555555556","8.66666666666667","18.2222222222222","0","7","20","35.1111111111111","2","6"
"16","frc3939","69.25","11.125","20.125","0","8","25.25","37.25","3","4"
"17","frc401","96.5555555555556","12.7777777777778","29.8888888888889","5","7","37","50.3333333333333","2","4"
"18","frc404","72","7.88888888888889","18.7777777777778","1","8","22","36.6666666666667","0","8"
"19","frc422","78.5555555555556","10.3333333333333","22.2222222222222","4","7","26.3333333333333","43","1","8"
"20","frc4456","70.8888888888889","7.44444444444444","17.7777777777778","0","6","26.3333333333333","41.2222222222222","1","7"
"21","frc4505","50.4444444444444","7.88888888888889","12.1111111111111","0","4","17.7777777777778","31.1111111111111","1","8"
"22","frc540","51.6666666666667","5","11.8888888888889","0","6","18.2222222222222","30.8888888888889","1","7"
"23","frc5724","74.6666666666667","9.33333333333333","18.4444444444444","0","5","25.8888888888889","42.3333333333333","6","7"
"24","frc619","69.2222222222222","8.44444444444444","18.7777777777778","0","6","21.3333333333333","36.6666666666667","6","6"
"25","frc6194","71.3333333333333","10.2222222222222","18.1111111111111","0","6","26","43.5555555555556","5","6"
"26","frc623","64.1111111111111","5.77777777777778","20.2222222222222","6","6","15","32.5555555555556","5","8"
"27","frc6504","68.3333333333333","5.77777777777778","15.5555555555556","0","6","27","41.4444444444444","4","7"
"28","frc6802","84.375","12.75","27.25","5","7","28.125","44.625","5","7"
"29","frc8230","72.8888888888889","12.2222222222222","23.4444444444444","4","7","20.8888888888889","38.6666666666667","3","6"
"30","frc8592","68.5555555555556","8.33333333333333","21.2222222222222","2","7","21","36.7777777777778","5","6"
"31","frc9003","54.5555555555556","9.22222222222222","16.1111111111111","0","7","15.6666666666667","29","0","4"
"32","frc9033","63.5555555555556","6.22222222222222","11.5555555555556","0","8","25","39","2","5"
"33","frc9235","71","6.88888888888889","18.5555555555556","0","8","19.2222222222222","38.3333333333333","1","9"
"34","frc977","65.8888888888889","9","17.8888888888889","0","6","20.4444444444444","36.8888888888889","7","7"
