"","team","opr_difficulty_rating","rp_difficulty_rating"
"1","frc3005",-15.6370104687307,-0.718264578282592
"2","frc1318",-14.5980790581097,-0.58033386454226
"3","frc1678",-14.3260427126537,-0.610136718410437
"4","frc599",-14.1484500288649,-0.384459020027878
"5","frc3467",-13.911705469734,-0.578789031080974
"6","frc2910",-12.9526905085678,-0.402750220484151
"7","frc4415",-12.4409224707972,-0.453383685147441
"8","frc2337",-11.5431278787344,-0.330987495840644
"9","frc3476",-10.5037023042352,-0.243809010367995
"10","frc461",-9.08838905515264,-0.205329878842724
"11","frc4381",-8.43275793829391,-0.410748076147049
"12","frc6722",-8.38587073361907,-0.421653919619238
"13","frc67",-8.29979137034303,-0.479780430179374
"14","frc1690",-8.08986011455115,-0.482171946232739
"15","frc8033",-7.73735918554614,-0.197138443071371
"16","frc4422",-6.75168215153407,-0.478566905988133
"17","frc5166",-6.57460332885052,-0.249172745310704
"18","frc8013",-6.54562509355331,-0.164475459292622
"19","frc1591",-6.3568844710276,-0.447752360827334
"20","frc3539",-5.18557719820423,-0.128851245947667
"21","frc948",-4.91584116933691,-0.0338112677451554
"22","frc1114",-4.81208418089889,-0.403910786798847
"23","frc3534",-4.78854880647109,0.0213459391454537
"24","frc401",-4.51638775534159,-0.11240442186033
"25","frc2714",-4.11917552275386,-0.187369381572451
"26","frc4481",-4.04445844879905,-0.459833315843619
"27","frc59",-3.97564495922713,0.303353206691799
"28","frc6800",-3.7514570527641,-0.275922519004845
"29","frc5199",-3.32917047681737,0.00219433434882053
"30","frc2630",-3.26776168406584,-0.169456219743901
"31","frc5801",-2.88889230308968,0.0605712080728519
"32","frc5427",-2.69828419140074,0.0719033717114534
"33","frc2881",-2.48039114503763,0.171974614010358
"34","frc7657",-2.26333009645413,-0.0971124548651345
"35","frc5010",-1.91752411252958,-0.453451156817807
"36","frc2771",-1.80704911929196,0.0852922172323378
"37","frc4009",-1.67394357858002,0.0177068199206698
"38","frc836",-1.53156564387046,0.100019497119619
"39","frc9105",-1.38614911339458,-0.119163653852322
"40","frc9128",-1.35047507858466,0.0340756997763249
"41","frc4786",-1.3262062157901,0.0423190715437454
"42","frc103",-1.1779838789803,-0.045880860995012
"43","frc3996",-1.16230123402902,-0.158579314058795
"44","frc4451",-1.00277085208598,-0.117428111619039
"45","frc7197",-0.925618510931884,0.0259304566158459
"46","frc5586",-0.643859784505476,0.154564961233224
"47","frc5987",-0.153012640529229,0.0866843193098168
"48","frc2551",1.52325607685384,0.145089904833315
"49","frc2614",1.53537355208833,0.237743463091462
"50","frc7461",1.62756302911476,0.373723627884094
"51","frc2383",2.0173065099126,0.0462570130473212
"52","frc1708",2.06038205361021,0.0319569178022021
"53","frc1701",2.37532293226609,0.200203090299632
"54","frc1622",2.50924994599573,-0.303756920519494
"55","frc2834",3.95173673604307,0.0795143367976243
"56","frc3536",3.98003638633478,-0.0241848083492834
"57","frc1902",5.26092744778321,0.0826618100771293
"58","frc2830",5.60916083100614,0.404706325578896
"59","frc5557",6.3776408280681,0.0037074328037046
"60","frc968",7.84924603331856,0.206534816305459
"61","frc3603",7.87824717194499,0.188169401326126
"62","frc7258",8.36268451073334,0.275388129851162
"63","frc702",8.47777598162803,0.33849333744695
"64","frc2194",8.64192750211978,0.357355690034335
"65","frc3042",8.7340121850433,0.157856093389112
"66","frc9031",9.21955445192544,0.147728495916844
"67","frc4571",10.7304410551856,0.282796204404867
"68","frc7451",11.4454630663756,0.243496495625748
"69","frc157",12.5109382814131,0.501261699211936
"70","frc9138",15.1498641497526,0.67526186051981
"71","frc9120",15.2504621760566,0.437267517282904
"72","frc5985",15.4860382673043,0.647482409463206
"73","frc1165",16.1212919801376,0.408918977614608
"74","frc6702",16.5548614068677,0.570089458275914
"75","frc3229",16.6398800970217,0.77518655267223
"76","frc9072",16.7611985459188,0.731582902282049
"77","frc9097",24.1787481615995,1.16608843560457
