"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","3","blue","119","6","21","None","Level","46","68","None","Level"
"2","9","blue","35","6","12","None","Level","17","23","None","NotLevel"
"3","15","blue","64","12","33","None","Level","19","31","Park","Level"
"4","20","blue","85","10","28","None","Level","39","47","Docked","NotLevel"
"5","27","red","27","0","6","None","NotLevel","14","16","None","Level"
"6","31","red","77","9","12","None","Level","28","50","None","Level"
"7","38","blue","78","9","15","None","NotLevel","31","53","Docked","Level"
"8","42","red","47","6","9","None","NotLevel","13","33","Docked","Level"
"9","47","red","106","9","24","None","Level","30","50","None","Level"
"10","54","blue","109","12","30","None","Level","32","54","None","Level"
"11","58","red","100","6","24","None","Level","37","51","Park","NotLevel"
"12","68","red","103","9","30","None","Level","33","53","Docked","Level"
