"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","2","blue","77","12","30","None","Level","22","32","Docked","NotLevel"
"2","9","blue","35","6","12","None","Level","17","23","None","NotLevel"
"3","16","red","56","10","24","None","NotLevel","12","22","Park","NotLevel"
"4","22","blue","77","0","11","None","NotLevel","26","56","Docked","Level"
"5","28","red","59","3","9","None","Level","22","30","None","NotLevel"
"6","33","red","38","3","9","None","Level","14","24","None","Level"
"7","37","red","67","6","24","None","Level","26","38","Docked","Level"
"8","41","blue","40","3","6","None","Level","17","29",NA,"NotLevel"
"9","47","blue","109","18","24","None","NotLevel","35","65","Docked","Level"
"10","53","red","-1",NA,NA,NA,NA,NA,NA,"None",NA
"11","62","blue","-1",NA,NA,NA,NA,NA,NA,"Park",NA
"12","66","blue","-1",NA,NA,NA,NA,NA,NA,"Docked",NA
