"team","num_events","max_opr","max_auto_opr","max_tele_opr","rp_cr","auto_climb","tele_climb","opr1","opr2","opr3","auto_opr1","auto_opr2","auto_opr3","tele_opr1","tele_opr2","tele_opr3"
"frc4272",4,85.8236284154136,19.5747920372593,40.8120819727748,1.59488787963001,0.145833333333333,0.704166666666666,85.8236284154136,50.443294836783,41.9625604616368,19.5747920372593,17.7457483385412,11.856160704513,40.8120819727748,23.547466053258,24.5372987086304
"frc1325",5,76.2392232573613,22.2130515724982,41.5130766233604,2.22757994719387,0.15,0.623333333333333,67.2149132643775,44.9245851121171,59.7944513440161,22.2130515724982,10.2046206214804,16.1530272106804,33.4226269190545,26.7358511179767,31.8325506254165
"frc5460",5,76.1028035912771,19.1644323043604,33.5136791516625,2.12605223261791,0.45,0.5,76.1028035912771,46.7230667533704,52.0916191601968,19.1644323043604,14.3887592290324,14.3922635490324,33.5136791516625,22.8593961559445,26.4579656325093
"frc695",4,72.4102994090773,21.2614445016611,35.4603019543023,1.92586524562482,0.5125,0.866666666666667,72.4102994090773,65.7752872894189,64.1846861702076,21.2614445016611,16.7114504961106,13.4487120805946,26.5298496774564,35.4603019543023,32.9348835837497
"frc2767",4,69.8425926879223,19.0056028578182,35.1118792927792,2.37066149478536,0.3625,0.691666666666667,65.5824345366854,64.290432648818,69.8425926879223,19.0056028578182,15.0121504311401,16.8437801456194,24.4557236563247,33.3237463830915,35.1118792927792
"frc3314",5,69.0997669960416,15.9115122282708,39.8749567425909,1.87792653299128,0.56,0.596666666666667,69.0997669960416,36.6310567536217,62.1086138684049,15.9115122282708,7.46101254817434,14.1574227292033,39.8749567425909,19.1762176041199,33.0786428870553
"frc5472",4,68.0241291470761,15.3799388627311,36.5659471748339,1.93127108700736,0.670833333333333,0.616666666666667,60.1663385575377,68.0241291470761,58.6988614074135,13.0671118250028,11.6401247207608,12.1970618400065,34.3620771521414,36.5659471748339,30.9108165729869
"frc6081",4,67.6798760791991,19.8540294156824,30.5556461169891,2.03589652573291,0.216666666666667,0.529166666666667,67.6798760791991,51.6543461347017,45.6972675267641,19.8540294156824,8.09744475636421,15.7486820887793,25.0475739540901,30.5556461169891,24.3608029285376
"frc4613",5,66.9519089407532,15.2078382906341,35.9398969615539,2.51420502798794,0.545454545454545,0.703636363636364,66.9519089407532,53.3937207461618,50.5669791901271,10.9721972605928,13.0994030714221,3.19799276058563,35.9398969615539,26.2524369215797,31.1003863210007
"frc125",5,66.5951378068119,21.2980833009686,35.1725009531359,1.72220634612342,0.45,0.703333333333333,57.567756333876,45.8391292648679,46.7539086329058,12.9602493244538,14.3595804690078,19.1314007216439,29.9305266089701,23.2606967386876,19.4737909750804
"frc870",3,66.5472451690862,17.0006524026417,33.3897816466654,2.28020314101515,0.6,0.733333333333333,56.493551987471,66.5472451690862,59.8313274594292,13.074823203563,12.7907408984466,17.0006524026417,28.5880979036781,33.3897816466654,27.0234733750627
"frc2363",4,66.0632956382304,15.7715113114483,37.010714403437,2.00726952239293,0.333333333333333,0.675,60.9607090249116,55.167639934595,66.0632956382304,11.9437695421572,14.9965469543859,15.7715113114483,33.0876723445102,25.2421153237134,33.5517107972833
"frc4907",4,66.0070579486132,17.1444060913215,32.1975016560354,2.03663120413306,0.25,0.654166666666667,39.9127232728732,62.2978489716115,49.792450300518,13.5681184670348,15.4065641072945,12.4282453717484,21.4924989556502,32.1975016560354,26.9680748653006
"frc4946",4,65.4244985202182,19.9287166719405,33.8828122762567,2.2395057188951,0.279166666666667,0.6625,61.0448450946066,65.4244985202182,29.3445700792627,19.9287166719405,18.6422235322072,7.58804636128623,27.3275640578206,33.8828122762567,19.6866521881716
"frc5712",4,65.3422394108379,14.6656510904767,32.601309414704,1.68080094072114,0.291666666666667,0.725,44.3456537178655,65.3422394108379,60.3201191645181,13.1802485366369,14.6656510904767,14.1626615410143,19.1493115512243,31.5360936852529,32.601309414704
"frc1731",4,65.0687629114684,13.7596643485028,38.0002791097134,1.59914713378216,0.229166666666667,0.479166666666667,55.032479995412,64.6439886354706,65.0687629114684,13.7596643485028,12.1096217831895,12.9089728491535,28.3710372634104,38.0002791097134,36.780703491081
"frc1477",4,65.0553295179608,16.1583323308496,30.6673061063287,1.58005951701078,0.6,0.466666666666667,65.0553295179608,54.1323223049397,48.3123313708575,13.8088632628568,13.1389259171562,13.2047224321668,28.6263635609835,29.4753595599394,25.356081707686
"frc7769",4,64.2554484270506,12.5192004795521,36.4346396518364,1.98917620513895,0.229166666666667,0.754166666666667,52.5803220782353,59.4846121306654,44.9813868094786,10.584349463264,11.3128290038022,12.5192004795521,29.6698277881769,34.7261768481346,26.930215189084
"frc6424",4,64.1291217887433,14.2798272239898,34.1342587195107,1.91476499967337,0.804545454545454,0.613636363636364,52.9413486732868,54.4600735938553,55.3675326995227,14.1964011584959,13.3195095438892,12.0601024138639,24.0441361653208,29.5095264619646,32.9932607922741
"frc2054",4,64.034646223614,18.70047660546,29.5915973243735,1.7799480606249,0.420833333333334,0.6625,64.034646223614,51.8343241899402,37.8401647308431,18.70047660546,14.9657797471788,8.34047505922995,29.5915973243735,27.0294124675082,24.5859538751109
"frc20",3,62.4405702215086,15.6200162153323,32.793686698552,1.95846067523205,0.722222222222222,0.944444444444444,62.4405702215086,45.9867031697755,52.7408754994186,13.6299715585329,15.6200162153323,14.4742242163652,32.793686698552,24.0620167204643,28.4845979117164
"frc230",5,61.2758072115311,17.4749943364536,28.3600205832019,2.21286987536372,0.4,0.753333333333333,55.2049128624908,45.1205083715265,42.9058672201644,14.6812366683855,14.1717342812935,13.5071743048786,28.3600205832019,24.3975629042366,19.8062126805176
"frc3647",4,60.1844847402193,20.4568767360997,32.0334368290238,1.79740531762488,0.20959595959596,0.377272727272727,38.4290224030806,52.9897814126111,55.9622517689534,11.0927705153888,12.4757395838451,20.4568767360997,20.7219266177496,26.5864682363778,21.8238689593007
"frc1922",4,59.8910621244816,14.9038919721667,31.6624725284652,2.46492670577843,0.4,0.658333333333333,59.8910621244816,45.8370173062251,52.8915173689781,14.9038919721667,12.1280080940745,10.2499052496127,31.6624725284652,23.3433604754785,27.9936979249221
"frc2659",3,59.7743025946849,14.4691427090973,34.4383708116853,2.21577305578582,0.194444444444444,0.577777777777778,57.4238996617014,48.5422513307639,59.7743025946849,14.4691427090973,13.0727002582905,11.3492772944252,27.2774794968661,23.993268834822,34.4383708116853
