"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","1","blue","135","12","26","None","NotLevel","44","64","Docked","Level"
"2","9","red","35","4","4","None","Level","14","26","Docked","Level"
"3","12","red","116","18","33","None","Level","46","58","Docked","NotLevel"
"4","19","blue","85","9","20","None","NotLevel","30","60","Docked","Level"
"5","23","blue","36","13","13","None","Level","11","23","None","Level"
"6","31","red","77","9","12","None","Level","28","50","Docked","Level"
"7","38","red","101","15","32","None","NotLevel","41","47","Park","NotLevel"
"8","41","blue","40","3","6","None","Level","17","29","Docked","NotLevel"
"9","51","red","81","14","35","None","Level","31","41","Docked","NotLevel"
"10","56","blue","62","4","22","None","Level","15","35","Docked","Level"
"11","61","red","75","7","28","Docked","Level","15","37","Docked","Level"
"12","65","blue","56","11","17","None","NotLevel","12","24","Docked","NotLevel"
