"","team","num_events","max_opr","max_auto_opr","max_tele_opr","auto_climb_count","tele_climb_count","opr1","opr2","opr3","auto_opr1","auto_opr2","auto_opr3","tele_opr1","tele_opr2","tele_opr3"
"1","frc2056",3,87.948290599574,24.4005706251781,43.5818695404044,29,19,83.0869330775971,87.948290599574,85.7524457189567,19.0597285902944,18.6079183356494,24.4005706251781,41.3102813216247,43.5818695404044,36.0052685540207
"2","frc254",2,85.1393998325595,19.0216752039443,42.0223758890467,17,9,85.1393998325595,77.7408754598436,NA,19.0216752039443,14.4493158472318,NA,40.0181661643856,42.0223758890467,NA
"3","frc1323",2,81.9025850995103,18.413393442564,40.1015270732609,19,17,72.5073208250341,81.9025850995103,NA,16.8857693843883,18.413393442564,NA,37.8339815695859,40.1015270732609,NA
"4","frc6036",3,80.6340530145717,19.4180993379993,37.9832907906586,23,21,60.1454384303491,50.881614805392,80.6340530145717,11.9698009693126,13.4347425057703,19.4180993379993,34.764146608034,28.1830235975396,37.9832907906586
"5","frc2046",4,79.6102529919474,16.3909140202747,40.1511947456612,21,26,68.272060263987,54.0678141913588,79.6102529919474,13.6823923103405,16.3909140202747,14.6880791671832,32.9854528461909,26.427749217543,40.1511947456612
"6","frc1678",3,77.8985627927237,20.7833739500617,42.2030151978885,23,15,75.5229007248315,71.3342874055686,77.8985627927237,20.7833739500617,13.8106829359512,17.3395532606522,37.0452199889431,38.7509280609439,42.2030151978885
"7","frc3683",3,76.8989981623839,18.2057846314574,38.5543251266567,15,26,62.8298531348716,76.8989981623839,66.8206673368991,13.4979556352993,18.2057846314574,15.053277482197,32.2420678861932,38.5543251266567,34.8803663493676
"8","frc1325",4,76.2392232573613,17.0783273053962,41.5130766233604,9,35,44.9245851121171,59.7944513440161,76.2392232573613,10.2046206214804,16.1530272106804,17.0783273053962,26.7358511179767,31.8325506254165,41.5130766233604
"9","frc971",2,75.8223675398799,21.8293110680176,37.0982305354582,20,14,75.8223675398799,61.1159960287769,NA,18.8301799217627,21.8293110680176,NA,37.0982305354582,26.3192307232928,NA
"10","frc1619",2,75.4951116278582,16.3132128602549,38.74448702757,16,19,75.4951116278582,56.5199650534809,NA,16.3132128602549,15.7245838108447,NA,38.74448702757,29.9628780248756,NA
