"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","3","red","17","6","6","None","Level","5","11","Docked","NotLevel"
"2","8","red","59","12","23","None","NotLevel","11","31","Docked","Level"
"3","13","blue","62","6","17","None","NotLevel","21","35","Park","NotLevel"
"4","21","red","122","21","32","None","NotLevel","40","60","Docked","Level"
"5","25","blue","37","4","10","None","Level","10","12","Docked","Level"
"6","29","blue","50","6","24","None","Level","20","26","Docked","NotLevel"
"7","35","blue","88","12","30","None","Level","11","41",NA,"Level"
"8","40","red","82","0","3","None","Level","44","64",NA,"Level"
"9","47","red","106","9","24","None","Level","30","50","Docked","Level"
"10","57","blue","-1",NA,NA,NA,NA,NA,NA,"Docked",NA
"11","61","blue","-1",NA,NA,NA,NA,NA,NA,"Park",NA
"12","64","blue","-1",NA,NA,NA,NA,NA,NA,"Docked",NA
