"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","1","red","frc8230","frc9235","frc3359","22","6","6","None","Level","4","16","Park","Level"
"2","6","red","frc5724","frc8230","frc6194","65","12","15","None","Level","23","45","Docked","Level"
"3","12","blue","frc8230","frc977","frc3939","62","16","22","None","Level","25","35","Docked","NotLevel"
"4","18","blue","frc8230","frc6504","frc404","59","6","20","Docked","NotLevel","19","39","Park","Level"
"5","27","blue","frc1885","frc9003","frc8230","45","10","25","Docked","Level","7","15","Docked","NotLevel"
"6","32","red","frc8230","frc3361","frc2363","110","18","39","None","Level","36","56","Docked","Level"
"7","35","blue","frc122","frc619","frc8230","88","12","30","Docked","Level","11","41","Park","Level"
"8","44","red","frc1629","frc8230","frc8592","96","12","30","Docked","Level","28","36","None","NotLevel"
"9","47","blue","frc422","frc8230","frc1262","109","18","24","None","NotLevel","35","65","Park","Level"
"10","52","red","frc4505","frc623","frc8230","71","0","15","None","Level","16","46","Docked","Level"
"11","60","red","frc1915","frc9033","frc8230","76","12","27","Docked","Level","17","39","Docked","Level"
"12","68","blue","frc1086","frc8230","frc401","87","10","25","Docked","Level","30","42","Park","Level"
