"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","5","red","frc404","frc3939","frc623","77","12","27","Docked","Level","5","25","Docked","Level"
"2","10","blue","frc5724","frc623","frc1915","39","3","9","None","NotLevel","5","25","None","Level"
"3","13","blue","frc623","frc2106","frc619","62","6","17","None","NotLevel","21","35","Docked","NotLevel"
"4","21","blue","frc623","frc6194","frc977","56","10","21","Docked","NotLevel","15","35","Docked","Level"
"5","26","red","frc623","frc6802","frc540","74","6","24","None","Level","20","30","Docked","Level"
"6","34","blue","frc9235","frc3136","frc623","79","6","24","Docked","Level","23","45","Docked","Level"
"7","37","red","frc623","frc3361","frc1262","67","6","24","Docked","Level","26","38","Docked","Level"
"8","42","blue","frc3359","frc623","frc422","46","0","15","Docked","Level","6","26","Docked","Level"
"9","49","red","frc6504","frc1885","frc623","77","3","21","Docked","Level","14","34","Docked","Level"
"10","52","red","frc4505","frc623","frc8230","71","0","15","Docked","Level","16","46","None","Level"
"11","62","red","frc122","frc401","frc623","121","9","30","Docked","Level","49","61","Docked","NotLevel"
"12","68","red","frc4456","frc623","frc9033","103","9","30","Docked","Level","33","53","Docked","Level"
