"","city","country","district.abbreviation","district.display_name","district.key","district.year","end_date","event_code","event_type","key","name","start_date","state_prov","year"
"83","Muskegon","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-16","mimus",  1,"2024mimus","FIM District Muskegon Event presented by Renk","2024-03-14","MI",2024
"84","St. Joseph","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-09","misjo",  1,"2024misjo","FIM District St. Joseph Event presented by Whirlpool","2024-03-07","MI",2024
"85","Troy","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-30","mitr2",  1,"2024mitr2","FIM District Troy Event #2 presented by Magna","2024-03-28","MI",2024
"86","Troy","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-24","mitry",  1,"2024mitry","FIM District Troy Event #1 presented by Aptiv","2024-03-22","MI",2024
"87","Traverse City","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-16","mitvc",  1,"2024mitvc","FIM District Traverse City Event presented by Cone Drive","2024-03-14","MI",2024
"88","Allendale Charter Township","USA",fim,FIRST In Michigan,2024fim,2024,"2024-03-23","miwmi",  1,"2024miwmi","FIM District West Michigan Event","2024-03-21","MI",2024
"89","Eagan","USA",NA,NA,NA,NA,"2024-02-18","mnbt",100,"2024mnbt","Blue Twilight Week Zero Invitational","2024-02-17","MN",2024
"90","Duluth","USA",NA,NA,NA,NA,"2024-03-02","mndu",  0,"2024mndu","Lake Superior Regional","2024-02-28","MN",2024
"91","Duluth","USA",NA,NA,NA,NA,"2024-03-02","mndu2",  0,"2024mndu2","Northern Lights Regional","2024-02-28","MN",2024
"92","New Brighton","USA",NA,NA,NA,NA,"2024-02-24","mnkk",100,"2024mnkk","KnightKrawler Week Zero","2024-02-24","MN",2024
"93","Saint Paul","USA",NA,NA,NA,NA,"2024-04-06","mnmi",  0,"2024mnmi","Minnesota 10,000 Lakes Regional","2024-04-03","MN",2024
"94","St. Cloud","USA",NA,NA,NA,NA,"2024-04-07","mnmi2",  0,"2024mnmi2","Minnesota Granite City Regional","2024-04-04","MN",2024
"95","Lee's Summit","USA",NA,NA,NA,NA,"2024-04-06","mokc",  0,"2024mokc","Greater Kansas City Regional","2024-04-03","MO",2024
"96","Sedalia","USA",NA,NA,NA,NA,"2024-03-09","mose",  0,"2024mose","Central Missouri Regional","2024-03-06","MO",2024
"97","St. Louis","USA",NA,NA,NA,NA,"2024-03-23","mosl",  0,"2024mosl","St. Louis Regional","2024-03-20","MO",2024
"98","Bethlehem","USA",fma,FIRST Mid-Atlantic,2024fma,2024,"2024-04-06","mrcmp",  2,"2024mrcmp","FIRST Mid-Atlantic District Championship","2024-04-03","PA",2024
"99","Laurel","USA",NA,NA,NA,NA,"2024-03-16","mslr",  0,"2024mslr","Magnolia Regional","2024-03-13","MS",2024
"100","Monterrey","Mexico",NA,NA,NA,NA,"2024-03-02","mxmo",  0,"2024mxmo","Regional Monterrey presented by PrepaTec","2024-02-28","N.L.",2024
"101","Hermosillo","Mexico",NA,NA,NA,NA,"2024-03-16","mxpu",  0,"2024mxpu","Regional Hermosillo presented by PrepaTec","2024-03-13","SON",2024
