"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","5","blue","frc9033","frc122","frc422","85","0","3","None","Level","45","67","None","Level"
"2","11","blue","frc9033","frc3361","frc346","57","6","9","None","Level","14","18","Docked","NotLevel"
"3","17","blue","frc2363","frc9033","frc3939","98","18","36","None","Level","42","42","Docked","NotLevel"
"4","22","red","frc9235","frc1885","frc9033","52","3","9","None","Level","8","38","Park","Level"
"5","25","red","frc6194","frc9033","frc1629","89","10","16","None","NotLevel","36","56","Park","Level"
"6","30","blue","frc9033","frc5724","frc540","51","6","9","None","Level","22","32","Park","NotLevel"
"7","36","blue","frc9003","frc404","frc9033","36","6","9","None","Level","16","22","Docked","NotLevel"
"8","43","blue","frc6504","frc4505","frc9033","47","0","3","None","Level","27","39","Docked","Level"
"9","46","red","frc977","frc9033","frc3359","57","7","10","None","Level","15","37","None","Level"
"10","55","red","frc9033","frc1086","frc8592","58","12","18","None","Level","8","30","Docked","Level"
"11","60","red","frc1915","frc9033","frc8230","76","12","27","None","Level","17","39","Docked","Level"
"12","68","red","frc4456","frc623","frc9033","103","9","30","None","Level","33","53","Park","Level"
