"","team","opr_difficulty_rating","rp_difficulty_rating"
"1","frc2056",-21.0817189609026,-0.886383032069979
"2","frc6036",-20.7934975729919,-0.572686647542812
"3","frc254",-18.4824157571783,-0.563469284950097
"4","frc111",-16.0829035041179,-0.481949216558823
"5","frc118",-15.5660484930371,-0.821684650221502
"6","frc1619",-14.8446079396421,-0.343339920455988
"7","frc1577",-12.1530334209437,-0.126598841237811
"8","frc3663",-11.4231973307908,-0.347836931520173
"9","frc624",-11.2938877325735,-0.354423792354839
"10","frc1102",-9.62744320029961,-0.0745901078327729
"11","frc862",-9.16433829485952,-0.424096974701858
"12","frc33",-8.84624709786825,-0.406163023785541
"13","frc2607",-8.46437051461468,-0.339482805280924
"14","frc324",-8.39674216464468,-0.297598785137471
"15","frc1768",-8.10289093751158,-0.474985629276823
"16","frc4028",-7.88815782951725,-0.0393678006978801
"17","frc834",-7.65982038712112,-0.331059840592354
"18","frc2687",-7.64298499120802,-0.119425989397187
"19","frc2582",-6.15594884032144,-0.383695103097369
"20","frc6328",-6.01281803496122,-0.115991462256827
"21","frc1189",-5.84555727600952,-0.481329725407173
"22","frc78",-5.81736118696742,-0.813535881040028
"23","frc3015",-5.71431394911317,-0.150080297545474
"24","frc4903",-4.75185431272373,-0.138734136679751
"25","frc7563",-4.33930669713019,-0.326193170930537
"26","frc972",-4.29115732434215,-0.0464359791800449
"27","frc4476",-4.03526564746699,-0.370092261115517
"28","frc1574",-3.74597900126237,-0.196566206484406
"29","frc4362",-3.62998512945744,-0.0972947480198735
"30","frc27",-3.48050765800416,-0.0343313780886939
"31","frc2847",-3.38186494507526,0.0661413493408598
"32","frc2106",-2.99873967117985,-0.346547718447693
"33","frc6002",-2.41589445100376,-0.337393794667744
"34","frc70",-2.19093692145494,-0.261520503845285
"35","frc2468",-2.07626801844172,-0.265453967037919
"36","frc1561",-1.78218156858186,-0.113021719974136
"37","frc8085",-1.32849077973735,-0.319070418735445
"38","frc6078",-0.642337937044188,0.0296415751435289
"39","frc4373",-0.640710804327983,-0.0829128292805786
"40","frc7211",0.213672597265375,-0.00878476531346797
"41","frc2202",0.694504563808005,-0.262412121893595
"42","frc8159",0.799722971988646,0.17437081480973
"43","frc3061",0.841954748588159,0.265003413393993
"44","frc8724",1.04265842638337,0.0854949847378303
"45","frc3142",1.29050296393592,0.0097946136968075
"46","frc548",1.53721454483534,0.262848982602411
"47","frc1481",1.5736146045126,0.454698433539089
"48","frc687",1.70264984788223,-0.0704092362248353
"49","frc5232",2.78449945116725,0.138173581009658
"50","frc9067",3.14345539710396,0.663948642955748
"51","frc3322",4.40768312595449,-0.00808675823503622
"52","frc5809",4.83004646765571,0.301959183890338
"53","frc7174",4.90939310561368,0.170569909944865
"54","frc7444",5.47776103090922,0.282607168464441
"55","frc2457",6.12116353015353,0.261717671347045
"56","frc3130",6.2569324428753,0.356587155457425
"57","frc5993",6.91725032948309,0.189864621369891
"58","frc120",6.93059178518667,0.292629464343687
"59","frc2220",7.09315288360287,0.460214857876099
"60","frc1700",7.35073464156168,0.124630001756303
"61","frc5635",7.66411589239979,0.302699604686932
"62","frc8729",8.24543693442544,0.129550008136729
"63","frc9101",8.64927567886358,0.236861281541193
"64","frc4598",8.71519233615035,0.278474350759225
"65","frc9148",8.83671101723995,0.648238788748434
"66","frc9038",9.25383369663004,0.580223177939829
"67","frc3256",10.4998257542458,0.369440656635855
"68","frc1884",11.7240861325572,0.213756637741642
"69","frc2506",11.7997177732118,0.558848908712024
"70","frc9180",11.8684782480347,0.232555516139346
"71","frc2875",13.1195475212479,0.495904555887994
"72","frc4",13.5905040663106,0.319474835002333
"73","frc9134",15.0624446101184,0.613087741679043
"74","frc3459",16.5830002188771,0.455200472681267
"75","frc2905",17.7185593055464,0.634920888487948
"76","frc9059",17.8310352407938,0.61936438773536
"77","frc5045",26.2510435406698,0.965115076590602
