"","...1","team","num_events","max_opr","max_auto_opr","max_tele_opr","auto_climb_count","tele_climb_count","opr1","opr2","opr3","auto_opr1","auto_opr2","auto_opr3","tele_opr1","tele_opr2","tele_opr3"
"1",2,"frc254",2,85.1393998325595,19.0216752039443,42.0223758890467,17,9,85.1393998325595,77.7408754598436,NA,19.0216752039443,14.4493158472318,NA,40.0181661643856,42.0223758890467,NA
"2",3,"frc1323",2,81.9025850995103,18.413393442564,40.1015270732609,19,17,72.5073208250341,81.9025850995103,NA,16.8857693843883,18.413393442564,NA,37.8339815695859,40.1015270732609,NA
"3",4,"frc6036",3,80.6340530145717,19.4180993379993,37.9832907906586,23,21,60.1454384303491,50.881614805392,80.6340530145717,11.9698009693126,13.4347425057703,19.4180993379993,34.764146608034,28.1830235975396,37.9832907906586
"4",5,"frc2046",4,79.6102529919474,16.3909140202747,40.1511947456612,21,26,68.272060263987,54.0678141913588,79.6102529919474,13.6823923103405,16.3909140202747,14.6880791671832,32.9854528461909,26.427749217543,40.1511947456612
"5",6,"frc1678",3,77.8985627927237,20.7833739500617,42.2030151978885,23,15,75.5229007248315,71.3342874055686,77.8985627927237,20.7833739500617,13.8106829359512,17.3395532606522,37.0452199889431,38.7509280609439,42.2030151978885
"6",7,"frc3683",3,76.8989981623839,18.2057846314574,38.5543251266567,15,26,62.8298531348716,76.8989981623839,66.8206673368991,13.4979556352993,18.2057846314574,15.053277482197,32.2420678861932,38.5543251266567,34.8803663493676
"7",8,"frc1325",4,76.2392232573613,17.0783273053962,41.5130766233604,9,35,44.9245851121171,59.7944513440161,76.2392232573613,10.2046206214804,16.1530272106804,17.0783273053962,26.7358511179767,31.8325506254165,41.5130766233604
"8",9,"frc971",2,75.8223675398799,21.8293110680176,37.0982305354582,20,14,75.8223675398799,61.1159960287769,NA,18.8301799217627,21.8293110680176,NA,37.0982305354582,26.3192307232928,NA
"9",10,"frc1619",2,75.4951116278582,16.3132128602549,38.74448702757,16,19,75.4951116278582,56.5199650534809,NA,16.3132128602549,15.7245838108447,NA,38.74448702757,29.9628780248756,NA
"10",11,"frc2910",4,74.9537155510724,21.1806863998026,36.3492037853125,16,35,74.9537155510724,68.8351811867442,71.7286718359441,18.4425280572834,17.2496551447737,21.1806863998026,36.3492037853125,32.543303820641,33.6147569306203
"11",12,"frc4499",3,74.8119692364025,18.5662996889277,39.2870488035519,23,24,63.0880398744834,74.8119692364025,61.5298825412523,15.9045248373464,16.1384127752358,18.5662996889277,32.2640770483788,39.2870488035519,31.5623143896698
"12",14,"frc6672",3,72.5274415662479,21.1979548136937,37.702696066428,15,32,63.5648844756804,72.5274415662479,49.7889803867824,10.4022137883554,21.1979548136937,10.2216144122827,37.702696066428,30.8571608791529,27.6648107213874
"13",15,"frc111",2,72.448696065495,17.6723912692331,36.0392437463208,10,19,59.7005851915246,72.448696065495,NA,16.1444926788547,17.6723912692331,NA,32.9916368938291,36.0392437463208,NA
"14",16,"frc930",3,72.2837652678164,16.439167175382,36.5622309506634,7,22,51.3151739488789,72.2837652678164,62.4590229175913,16.0451283607877,16.439167175382,12.681666369877,28.1141826249828,36.5622309506634,35.1893619123885
"15",17,"frc5940",2,72.0853408467769,15.0333836625623,33.6208396175328,15,16,63.6857814571941,72.0853408467769,NA,15.0247406222263,15.0333836625623,NA,29.5421888556391,33.6208396175328,NA
"16",18,"frc176",3,71.9000316217921,17.913764612928,36.3268279752406,29,33,55.5456440978149,71.9000316217921,64.3908812292652,15.0681133101676,17.913764612928,15.2391551083448,27.1808886657243,36.3268279752406,33.5056032206298
"17",19,"frc3937",3,71.7453448763017,15.9716493079069,39.2592266435107,22,18,71.7453448763017,52.5219927612486,46.7929730749443,15.9716493079069,13.7008235955182,11.3150963243435,39.2592266435107,27.016765994584,24.7431635344803
"18",20,"frc195",3,71.661591449895,15.2146352122971,38.9683545519874,18,28,71.661591449895,56.7104355176874,71.3508794964041,15.2146352122971,13.6400142128625,14.721061612601,38.9683545519874,29.3246309647598,38.3568147412574
"19",21,"frc2338",2,71.5185998186699,18.7559840781357,37.5049876489662,10,21,51.4287272811254,71.5185998186699,NA,12.0306738526221,18.7559840781357,NA,26.3872423278624,37.5049876489662,NA
"20",22,"frc4414",3,71.4411297050772,16.3838636238513,37.5507003110251,28,20,67.0851763802315,58.6809357737541,71.4411297050772,9.79031071573599,13.1580303418409,16.3838636238513,37.5507003110251,30.1702254191444,33.2997750170731
"21",23,"frc3015",3,71.236920770883,15.6903128747778,34.481362381918,14,20,71.236920770883,52.7154123357165,54.5410459739665,15.6903128747778,13.1385136689134,14.2769276274116,34.481362381918,27.1599036032178,29.7257788209624
"22",24,"frc118",5,71.2137878467997,18.4427471778595,35.6206076649305,48,40,51.2488726947908,52.1285617114509,64.525593638106,17.5591339901655,17.7186263019915,15.3926440376726,23.5595854152934,27.6495426074533,32.1153895226137
"23",27,"frc7157",2,70.2730060710176,12.3094840562056,38.0789950761223,8,15,70.2730060710176,66.0193782045323,NA,12.3094840562056,9.01252905040004,NA,37.052017416809,38.0789950761223,NA
"24",28,"frc3005",3,69.952626615154,15.6366167824156,43.6146599398215,17,21,68.6717521079171,69.952626615154,68.2863354059885,13.8419581081306,10.3459614860055,15.6366167824156,37.7613709597194,43.6146599398215,37.968156725002
"25",29,"frc2767",3,69.8425926879223,16.8437801456194,35.1118792927792,15,26,64.290432648818,69.8425926879223,51.4013572577649,15.0121504311401,16.8437801456194,13.7966563505316,33.3237463830915,35.1118792927792,23.5708436388151
"26",31,"frc8033",2,68.7785374116682,15.0447439703342,36.7759028824186,16,16,43.277210173622,68.7785374116682,NA,8.06613490415134,15.0447439703342,NA,21.2800985431981,36.7759028824186,NA
"27",33,"frc4391",4,68.2517301637251,17.0052908090031,39.0998363075303,20,29,65.6534476320428,35.3421114275257,68.2517301637251,17.0052908090031,1.38266777130016,15.5386489089942,33.8483143352596,27.1871931473118,39.0998363075303
"28",34,"frc6329",3,68.2303036451103,17.1391170476915,37.58985078591,17,24,61.6694481962661,68.2303036451103,63.5940526378103,14.3803727214604,17.1391170476915,16.5722534376088,32.3713248158494,37.58985078591,35.0291777263912
"29",35,"frc2539",3,68.2150303696983,17.3697693011496,35.7978543411398,15,20,68.2150303696983,59.8902060439002,63.502385359792,15.8586464318061,12.5403543121079,17.3697693011496,35.7978543411398,28.4633213761509,29.7848355325634
"30",36,"frc4522",3,68.0754496663781,18.5684456650789,36.5383029490663,16,33,56.0048559077785,67.9441315162144,68.0754496663781,18.5684456650789,15.3894578648681,15.0435146068002,28.2260561378274,35.8337756214239,36.5383029490663
"31",37,"frc1591",2,67.9904919513651,18.1187925940313,36.0015080995453,11,7,53.1711393102606,67.9904919513651,NA,18.1187925940313,16.5545550390014,NA,25.2015681541253,36.0015080995453,NA
"32",38,"frc1796",3,67.7099636131197,15.4343330386524,38.6555978280167,14,26,29.2615758454034,67.7099636131197,53.2380169945003,4.77066436289076,15.4343330386524,14.4997369752177,21.2465878406929,38.6555978280167,28.4078105066799
"33",39,"frc1706",2,67.5327895005358,18.1337316774946,31.4471311972019,12,17,67.5327895005358,52.0563229257427,NA,18.1337316774946,13.3588005473566,NA,31.4471311972019,23.5403604773405,NA
"34",40,"frc4381",4,67.4083281355936,18.7770841761838,32.6718461540435,17,27,67.4083281355936,49.0246203297606,61.1196967429915,18.7770841761838,18.0815336497943,14.6155109894158,31.1455970456656,24.0706233882879,32.6718461540435
"35",43,"frc2974",3,67.3184411490022,15.8795090588575,40.7074308962133,28,22,62.6191170943697,57.739911460215,67.3184411490022,14.4451837629903,15.6560072663053,15.8795090588575,30.265022941006,27.0140695814344,40.7074308962133
"36",44,"frc1987",2,67.2695912853967,18.2352843234025,34.0303015803018,21,15,65.3058347301908,67.2695912853967,NA,18.2352843234025,16.5025255204644,NA,30.7147974823281,34.0303015803018,NA
"37",45,"frc4613",4,66.9519089407532,15.2078382906341,35.9398969615539,27,36,66.9519089407532,53.3937207461618,61.0896432851907,10.9721972605928,13.0994030714221,15.2078382906341,35.9398969615539,26.2524369215797,31.1785629762103
"38",47,"frc2521",3,66.9280717448497,15.6938942469707,35.4946253587742,13,24,49.9773427567023,64.0084643520533,66.9280717448497,10.3136931308525,15.129357823276,15.6938942469707,30.1903333755009,28.2599250618957,35.4946253587742
"39",49,"frc8592",3,66.675852418838,15.0026063741729,33.7726843803881,13,23,60.1252530046041,66.675852418838,27.1847636463501,15.0026063741729,13.9368736649454,9.12729515628716,30.1432923778996,33.7726843803881,14.2362850169053
"40",51,"frc870",2,66.5472451690862,17.0006524026417,33.3897816466654,16,16,66.5472451690862,59.8313274594292,NA,12.7907408984466,17.0006524026417,NA,33.3897816466654,27.0234733750627,NA
"41",52,"frc1577",3,66.516264831648,13.5622137160407,38.9509082123342,16,22,66.516264831648,62.9864818405647,57.4074343386247,9.7980138881853,13.5622137160407,11.5068978636648,38.9509082123342,35.0412303579104,34.4044176883898
"42",53,"frc2363",3,66.0632956382304,15.7715113114483,37.010714403437,16,27,63.2432795887383,66.0632956382304,63.3880265159525,12.1201813303878,15.7715113114483,14.8119544924386,34.4365474280033,33.5517107972833,37.010714403437
"43",54,"frc2481",2,66.0524523236477,15.0243467571537,30.7979468081601,12,20,38.9751865999254,66.0524523236477,NA,13.583972617655,15.0243467571537,NA,18.0279180655907,30.7979468081601,NA
"44",55,"frc4907",3,66.0070579486132,17.1444060913215,32.1975016560354,12,29,62.2978489716115,49.792450300518,66.0070579486132,15.4065641072945,12.4282453717484,17.1444060913215,32.1975016560354,26.9680748653006,31.8965841382385
"45",56,"frc4028",2,65.953539969971,16.5467258942615,28.6629615358815,10,10,65.953539969971,53.9049372634348,NA,16.5467258942615,14.7606210801862,NA,28.6629615358815,27.9540944973301,NA
"46",57,"frc1718",3,65.8075530702442,14.6599645320669,35.4265118490181,27,24,62.2497599441819,54.2425276929714,65.8075530702442,13.7406427664856,12.9293448293918,14.6599645320669,34.4899376917337,27.8213084180445,35.4265118490181
"47",58,"frc694",3,65.7903957867633,17.5547231768056,35.4544165389638,19,22,50.312530420621,60.7078040399142,65.7903957867633,15.7922914312573,17.5547231768056,16.4147005999693,26.7586211949064,30.3810082266427,35.4544165389638
"48",59,"frc695",3,65.7752872894189,16.7114504961106,35.4603019543023,17,30,65.7752872894189,64.1846861702076,51.2769082715972,16.7114504961106,13.4487120805946,10.6048019413176,35.4603019543023,32.9348835837497,30.2403500933591
"49",61,"frc4946",3,65.4244985202182,18.6422235322072,33.8828122762567,11,27,65.4244985202182,29.3445700792627,52.2723629777367,18.6422235322072,7.58804636128623,14.2888191856948,33.8828122762567,19.6866521881716,26.2894592451857
"50",62,"frc1768",4,65.4076797289724,15.5905998136125,35.1492702492028,24,37,53.2539740441556,53.6785398740704,65.4076797289724,15.4076218005603,13.0070034810018,15.5905998136125,23.932170157673,27.1535247964021,35.1492702492028
"51",63,"frc5712",3,65.3422394108379,14.6656510904767,32.601309414704,14,30,65.3422394108379,60.3201191645181,42.525967780527,14.6656510904767,14.1626615410143,10.9654491362006,31.5360936852529,32.601309414704,25.4800239118508
"52",64,"frc1731",3,65.0687629114684,13.2338784201626,36.780703491081,11,19,52.6984556715294,65.0687629114684,43.0294323830554,13.2338784201626,12.9089728491535,7.99960115429244,26.5315847801476,36.780703491081,24.0393170801082
"53",65,"frc4415",3,65.0575581851901,18.1320617922382,30.7134495689692,21,28,45.9292785074027,65.0575581851901,42.5267587567222,14.6108810276358,18.1320617922382,7.12649615669292,25.2862694308075,30.7134495689692,21.9570029964377
"54",66,"frc359",4,65.0336226073658,17.8542915344216,33.3264194031327,33,20,58.6080838282417,55.6106971149959,42.605132253668,14.3203649753915,16.8109218485505,13.0357015587501,32.8166375672214,26.7644696539388,21.7939354411194
"55",67,"frc341",3,64.805886400721,13.4087106495791,34.4597811857618,12,29,60.4910611474298,49.9210239001753,64.805886400721,13.4087106495791,12.4622796325508,13.3607234215156,33.9031249248362,28.551608610169,34.4597811857618
"56",69,"frc67",3,64.7927973872113,21.6999260575064,30.6416168360158,7,27,56.784784171547,52.3056710366092,64.7927973872113,14.6956321988954,15.1529102728528,21.6999260575064,30.6416168360158,28.3940939626184,25.8705647205842
"57",70,"frc7890",3,64.7449248051365,19.158365829438,32.2913523314953,32,20,44.1163901082457,58.1056447740724,64.7449248051365,14.7276661124375,16.5557293304973,19.158365829438,23.0777088202615,32.2913523314953,32.1581163361666
"58",71,"frc3476",2,64.6829267930615,16.1327989423145,34.0675894101498,13,22,64.6829267930615,53.9181052198238,NA,16.1327989423145,15.9341044001228,NA,34.0675894101498,24.6511679039649,NA
"59",72,"frc987",2,64.6746118645223,19.370281249079,33.9193694574154,16,7,54.4881567567617,64.6746118645223,NA,19.370281249079,16.5927237774483,NA,23.2870079311094,33.9193694574154,NA
"60",74,"frc2468",3,64.461190918742,17.7956055152076,34.9081534871702,30,33,63.736796201966,56.0397045069706,64.461190918742,17.7956055152076,9.96079438587014,11.1719842254037,31.5306197683109,31.087037231111,34.9081534871702
"61",75,"frc461",3,64.3806863697022,17.7704076186597,33.438517017769,14,25,60.8044548354637,44.8635073289731,64.3806863697022,13.4584436161666,9.85885160996829,17.7704076186597,33.438517017769,26.0419537069863,30.9930681220893
"62",77,"frc6424",3,64.1291217887433,14.2798272239898,34.1342587195107,27,19,54.4600735938553,55.3675326995227,64.1291217887433,13.3195095438892,12.0601024138639,14.2798272239898,29.5095264619646,32.9932607922741,34.1342587195107
"63",78,"frc857",3,64.0881925530887,17.686467589249,33.5326374583465,21,32,52.8689743084044,52.3597597882122,64.0881925530887,15.97544463475,17.686467589249,17.4352403078857,26.5751012015725,28.980895495533,33.5326374583465
"64",79,"frc1538",2,63.9991201741843,14.4776720077741,38.7651951671994,11,6,63.9991201741843,63.0675835747144,NA,13.8922775836908,14.4776720077741,NA,38.7651951671994,32.8502708385197,NA
"65",80,"frc3175",3,63.9628886546788,19.0340015113147,32.2357235267975,9,30,59.466669535206,45.0940110199457,63.9628886546788,19.0340015113147,11.2261668401112,15.5004135362307,26.3592449449083,27.8919669472965,32.2357235267975
"66",82,"frc2687",3,63.9099410872153,12.6928765535484,37.614095225657,18,25,63.9099410872153,34.7034431725598,63.6206458883392,12.6928765535484,8.55137354787287,8.62098136030391,37.614095225657,17.6691734846808,37.2474320532001
"67",84,"frc6328",3,63.7170102775181,21.7811166470561,29.070004337142,13,21,56.3923446657944,63.7170102775181,52.5847049193807,15.4716476340047,21.7811166470561,14.9168411731475,28.7950736091075,29.070004337142,24.3967514168731
"68",85,"frc180",3,63.6446368658715,17.6318039181574,31.7161733379894,29,30,44.2538755820828,63.6446368658715,43.3280329818089,12.5521849738022,17.6318039181574,14.9387777974148,22.9957342671278,31.7161733379894,20.7987057775906
"69",86,"frc1732",3,63.604403891751,15.0944423817219,34.6286163975691,2,16,28.443706496817,63.604403891751,51.6679916855891,5.28157078269531,10.5559872054518,15.0944423817219,14.7395584141804,34.6286163975691,24.2494934780432
"70",88,"frc3357",4,63.4801953921885,18.4347492470037,32.8895455732347,9,34,58.425946306617,51.504755802638,54.9666734788441,16.0465030040781,11.0812392318038,11.1646160833022,31.6799065839285,32.6511280561857,29.587493466744
"71",89,"frc4481",2,63.460095182237,16.1897448904473,32.4228354561208,11,9,38.8664217764268,63.460095182237,NA,6.30006152122708,16.1897448904473,NA,22.2070047522464,32.4228354561208,NA
"72",90,"frc599",3,63.2985421603183,16.6197386168805,30.7723913306012,16,16,60.0642919404247,63.2985421603183,20.008533664488,16.6197386168805,15.8500274938817,1.97310951859699,30.7723913306012,30.4451417495197,13.9000599015467
"73",91,"frc1114",3,63.1573173929266,14.3577972807555,30.9769321311684,18,29,51.7336406673192,50.1068393227313,63.1573173929266,14.3577972807555,11.7169433387778,13.1777858376802,28.4786623700904,28.0206626128798,30.9769321311684
"74",92,"frc33",3,63.1559039989042,17.5992893307182,31.7580705808567,16,30,53.1922273013126,63.1559039989042,42.3889563413859,14.7679889420132,17.5992893307182,11.1913113243446,26.4898819303052,31.7580705808567,25.8690069704225
"75",93,"frc1727",3,63.0583752928711,16.6194432171797,35.3892708109759,13,26,57.9830311120741,59.0900589004298,63.0583752928711,16.6194432171797,12.4243101041213,11.7993815414118,28.6688018666503,32.1878525032968,35.3892708109759
"76",94,"frc148",3,62.9688406520324,16.8882393092499,35.5501709587812,7,24,61.0922776040598,62.9688406520324,50.5386958882057,9.24584069352952,12.385988212164,16.8882393092499,32.7362621190703,35.5501709587812,24.7855365007367
"77",95,"frc177",3,62.9661958512734,13.0299614673279,35.7434256460071,16,29,48.7837655986764,52.7592047018526,62.9661958512734,7.46051653887279,13.0299614673279,11.9133497088737,32.0585386107207,28.4066809509842,35.7434256460071
"78",96,"frc422",3,62.9597120602136,17.1114382037437,27.743766608841,13,12,46.0780854283694,36.8785970405189,62.9597120602136,13.722483385235,11.0314964419369,17.1114382037437,20.5680503050777,18.2418295805455,27.743766608841
"79",97,"frc325",2,62.9511887137535,15.6463505178895,32.1571235765584,10,9,40.2317267116043,62.9511887137535,NA,13.9724937350723,15.6463505178895,NA,18.9449965133824,32.1571235765584,NA
"80",102,"frc2075",3,62.8119693639821,17.4547989776179,35.5933492023096,8,24,58.6290297032634,62.8119693639821,58.7335133430637,17.0038359330224,14.9957040162013,17.4547989776179,27.5575262811924,35.5933492023096,26.6215885769997
"81",105,"frc972",3,62.4618129410703,15.7164731925079,31.642572506656,8,28,35.6854925416822,48.0422723140307,62.4618129410703,9.81858845714078,8.38206086603137,15.7164731925079,18.88055050571,28.3495784721428,31.642572506656
"82",106,"frc1339",3,62.4403673143444,15.9618017756714,33.1376308308536,17,23,62.0021456156524,44.2901088312142,62.4403673143444,15.9618017756714,12.4989590060846,14.9226687002122,29.9383132739338,24.2401104270192,33.1376308308536
"83",108,"frc1868",3,62.377716612065,16.619745683049,33.934992276792,1,18,48.2446283230012,31.6853898584163,62.377716612065,16.619745683049,10.12828015988,14.3312737905898,25.3675269599162,15.8086692058181,33.934992276792
"84",109,"frc3314",4,62.1086138684049,14.1574227292033,33.0786428870553,24,31,36.6310567536217,62.1086138684049,41.2637665307323,7.46101254817434,14.1574227292033,9.84579634788792,19.1762176041199,33.0786428870553,21.0785555564547
"85",110,"frc973",3,61.9978970553096,16.2187672606071,28.3356264014547,29,18,53.5239068757761,61.9978970553096,56.8208064845915,11.4499242239629,16.2187672606071,12.5000169057521,26.3586829680941,27.9542119055723,28.3356264014547
"86",112,"frc2052",2,61.9501336263832,16.9554281990102,34.4357364323327,14,10,61.9501336263832,54.4167058412816,NA,16.9554281990102,13.7233511716018,NA,34.4357364323327,27.5083725155926,NA
"87",117,"frc6722",2,61.8260327903972,16.9121605469876,32.9066359192816,20,9,46.3298088424501,61.8260327903972,NA,9.84394124526871,16.9121605469876,NA,25.0907668911002,32.9066359192816,NA
"88",118,"frc2992",3,61.7472462772589,15.3760462405065,28.9813605261267,25,32,61.7472462772589,49.8794286327177,37.4678050531126,15.3760462405065,11.1961383234018,10.2300704611502,27.8328148068523,28.9813605261267,19.8206737580348
"89",119,"frc9312",3,61.6359808616031,16.7451097068235,32.5104191866905,17,27,52.0202411008312,24.5645391868611,61.6359808616031,10.3378337133947,5.51642793628511,16.7451097068235,32.5104191866905,14.4966943355423,29.7889114834099
"90",120,"frc955",4,61.6206325258021,18.8377760610688,27.3356263126437,5,26,48.0887761942424,36.7212176462217,61.6206325258021,10.0050416537689,9.22734792219116,18.8377760610688,26.5751016412747,20.8545588644717,27.3356263126437
"91",121,"frc1756",2,61.5504573856803,16.0415632605968,33.1386225895452,10,17,61.5504573856803,61.339555409532,NA,16.0415632605968,13.9148861238646,NA,33.1386225895452,32.5643980297862,NA
"92",123,"frc834",3,61.4207189390388,13.3140705654857,34.5218905395509,4,24,50.3695989335404,61.4207189390388,31.396310886932,11.9181418150068,13.3140705654857,10.4101592401264,26.7029742690791,34.5218905395509,16.022690501423
"93",125,"frc3184",2,61.3861144347353,16.9567680516786,32.3166634682395,13,20,61.3861144347353,57.7093783739342,NA,12.4613447291713,16.9567680516786,NA,32.3166634682395,28.7505024930814,NA
"94",126,"frc230",4,61.2758072115311,17.4749943364536,28.3600205832019,24,38,55.2049128624908,45.1205083715265,56.7207684551982,14.6812366683855,14.1717342812935,17.2562260757347,28.3600205832019,24.3975629042366,26.2334670144343
"95",127,"frc5050",3,61.2654702448278,15.1773891938294,31.1534236229384,27,26,51.1867577097156,52.6705030203137,61.2654702448278,15.0799472307819,11.9237121325042,15.1773891938294,24.3763253036902,30.1382043663941,31.1534236229384
"96",128,"frc1923",3,61.1868300296087,12.7474170884745,32.3030574500464,32,26,61.1868300296087,43.9019922176794,60.7527750515981,12.7474170884745,12.169344476032,11.7611117886009,32.3030574500464,18.8622322782838,31.6395995754544
"97",132,"frc245",4,60.8687870686758,18.4301549262666,31.8463768479308,17,28,56.9720188124432,31.1085356888844,46.4534913954999,13.8143884774458,8.30436688218628,10.9919612457012,29.8928698980165,19.4094553626673,28.1081476375328
"98",133,"frc2451",3,60.7740279428786,13.6496464380983,35.8147377395767,10,27,58.9710404095698,55.6683881910087,60.7740279428786,11.7642420938347,13.6496464380983,10.9517152457453,35.8147377395767,27.6839643688778,35.310449426439
"99",135,"frc302",3,60.6160258512313,15.4286068382738,32.5748341556792,30,19,55.4011920454552,54.5707816974303,60.6160258512313,12.7694150916813,15.4286068382738,14.1377682123262,31.1940615000304,29.3052999277445,32.5748341556792
"100",136,"frc7211",3,60.588331423199,18.8853065486805,28.7507180019066,7,16,60.588331423199,47.1071591585513,54.1845417811882,18.8853065486805,15.1415764719447,10.3132137941624,26.3905360282172,24.6075135847239,28.7507180019066
"101",137,"frc4069",3,60.5385732436668,15.6702666693094,33.1460053439344,18,27,31.7136031716512,60.5385732436668,44.6006203640379,7.57623559630688,15.6702666693094,12.7820885403742,18.3808249253724,33.1460053439344,25.2356395249463
"102",140,"frc6090",3,60.3614253195609,16.8821916010068,32.4461461069193,23,21,60.3614253195609,58.993984783049,45.9814688780234,16.8821916010068,16.0840930052389,11.6849468458571,32.4461461069193,30.6147371215177,27.5774934754541
"103",141,"frc1690",3,60.2865464050273,17.4002137496049,30.5465143758001,16,26,60.2865464050273,52.9548047522014,57.3115158588659,17.4002137496049,14.557271030134,14.9576965786001,28.522079925878,30.5465143758001,29.0391967117437
"104",143,"frc3647",3,60.1844847402193,13.3655821487055,32.0334368290238,9,10,38.4290224030806,52.9897814126111,60.1844847402193,11.0927705153888,12.4757395838451,13.3655821487055,20.7219266177496,26.5864682363778,32.0334368290238
"105",145,"frc5472",3,60.1663385575377,15.3799388627311,34.3620771521414,20,20,60.1663385575377,58.6988614074135,52.5463566149828,13.0671118250028,12.1970618400065,15.3799388627311,34.3620771521414,30.9108165729869,25.067319203284
"106",146,"frc1506",3,60.1484449975035,14.9066552149873,31.0023343591284,18,29,58.8870336507448,60.1484449975035,42.8757059953846,14.9066552149873,13.756851039831,14.0474916898085,31.0023343591284,29.5041376879648,22.6566518711368
"107",147,"frc6377",3,59.9031495635788,14.1849920515406,31.9560497619965,26,27,59.9031495635788,48.850643824007,43.1637407458024,14.1849920515406,11.3960863336653,12.652192343156,31.9560497619965,29.3895454597578,20.4676880212567
"108",149,"frc5907",3,59.8315373346462,16.7941013015765,31.0317192921412,24,27,57.8754678322141,36.4842484615517,59.8315373346462,15.711472481131,10.9949075753566,16.7941013015765,29.1513430622289,17.6791938774177,31.0317192921412
"109",150,"frc1757",3,59.8132141878184,14.4364015539548,33.8696011351904,8,25,45.5148902950712,56.7120334460608,59.8132141878184,9.75648263704463,13.1839909066316,14.4364015539548,24.141179272035,30.5031001831318,33.8696011351904
"110",152,"frc5166",3,59.6863199113876,17.6768863252011,31.0495741836248,15,28,55.0216963932003,59.6863199113876,58.0161847301781,17.6768863252011,17.248929167161,17.617714583718,25.1013688238491,31.0495741836248,28.3900579875314
"111",154,"frc6919",3,59.6564862451061,16.6273928830208,31.67781496865,24,22,45.1362590593409,58.3822119669501,59.6564862451061,16.6273928830208,12.5254480045906,16.2475998004759,21.6775464447026,31.67781496865,25.5309836098274
"112",155,"frc27",4,59.4892354026914,15.3307184832353,31.1991134441316,22,31,51.2096558628409,56.8495870681411,39.9740692404054,13.1403929638124,12.0658369668155,10.9012747392746,24.5813644445465,29.6577072894475,22.2442988221015
"113",158,"frc51",3,59.3589026857535,15.1639102197956,30.7600340377869,13,23,59.3589026857535,50.9525375504869,52.6036176981826,15.1639102197956,13.195031222228,11.7976797729785,30.7600340377869,29.2166229008277,29.9869841990692
"114",159,"frc3655",3,59.2780326639832,13.8675086375737,33.4619678821806,11,30,58.3124774748208,33.3736649285991,59.2780326639832,13.8675086375737,4.43985330714221,13.0904399416899,32.8628713909039,24.3033731760809,33.4619678821806
"115",160,"frc4738",2,59.2684471266385,13.6355434394542,30.8993920054128,13,10,48.0713601278757,59.2684471266385,NA,13.6355434394542,13.4888513881674,NA,22.2323981752597,30.8993920054128,NA
"116",161,"frc4635",3,59.058447634847,15.9903323011296,30.7717660556071,16,19,51.7688058892784,49.2220794482303,59.058447634847,8.99632866139374,15.9903323011296,15.2503340937331,30.7717660556071,24.7297325859878,29.424333835382
"117",162,"frc8177",3,59.0255991618543,13.3029249764859,32.2639263659217,15,27,30.3014649861569,59.0255991618543,48.7335835313125,7.32281434356914,13.3029249764859,11.3268495678461,15.4864369099507,32.2639263659217,30.6424970240145
"118",165,"frc179",3,58.9707972886827,18.2423372906283,32.6307018159221,16,24,53.5464791268925,58.9707972886827,54.5173307230725,11.2627406907911,17.6145342375671,18.2423372906283,32.6307018159221,30.9243238663489,25.7720418573384
"119",166,"frc6045",2,58.9060429186073,16.0588587071054,31.5412838131169,15,13,46.8915019586905,58.9060429186073,NA,13.0187501974518,16.0588587071054,NA,22.3037399518068,31.5412838131169,NA
"120",167,"frc5913",2,58.901728565016,17.7350357963956,28.7465045629446,3,17,58.901728565016,57.5242429790281,NA,17.7350357963956,16.0784978200848,NA,28.6991838085259,28.7465045629446,NA
"121",169,"frc1807",4,58.6523518599689,15.6246566877824,31.8119391847935,31,39,51.4442550888364,53.1950757626462,58.6523518599689,7.74152431930252,14.3095288983251,15.6246566877824,31.7297632309904,26.2210765558221,31.8119391847935
"122",170,"frc4336",2,58.5194420802313,14.0961266562617,32.8486435999579,18,23,47.8381373929458,58.5194420802313,NA,12.7223270465688,14.0961266562617,NA,26.1899650669616,32.8486435999579,NA
"123",171,"frc5414",3,58.5188015158647,11.2000317401177,30.9959745768547,15,21,40.6835797902891,58.5188015158647,41.973791839465,8.61637557466254,9.48512164542259,11.2000317401177,22.7632099779701,30.9959745768547,21.9299004316586
"124",173,"frc5727",3,58.5036114065919,16.679365366693,28.2418092391116,12,19,31.949207131792,54.6893319478743,58.5036114065919,9.92313268035038,12.9569193296836,16.679365366693,15.662394728364,28.2418092391116,24.8943714825756
