"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","3","red","17","6","6","None","Level","5","11","None","NotLevel"
"2","10","red","31","12","12","None","NotLevel","7","9","None","Level"
"3","16","blue","47","6","12","None","Level","5","25","None","Level"
"4","23","blue","36","13","13","None","Level","11","23","None","Level"
"5","27","red","27","0","6","None","NotLevel","14","16","Park","Level"
"6","31","blue","79","9","15","None","NotLevel","32","54","None","Level"
"7","36","red","103","16","27","None","NotLevel","39","61","Docked","Level"
"8","43","blue","47","0","3","None","Level","27","39",NA,"Level"
"9","46","blue","67","9","15","None","NotLevel","20","42","None","Level"
"10","52","red","-1",NA,NA,NA,NA,NA,NA,"None",NA
"11","60","blue","-1",NA,NA,NA,NA,NA,NA,"None",NA
"12","65","red","-1",NA,NA,NA,NA,NA,NA,"None",NA
