"team","num_events","max_opr","max_auto_opr","max_tele_opr","rp_cr","auto_climb","tele_climb","opr1","opr2","opr3","auto_opr1","auto_opr2","auto_opr3","tele_opr1","tele_opr2","tele_opr3"
"frc971",3,75.8223675398799,21.8293110680176,37.0982305354582,2.13942808831828,0.803030303030303,0.745454545454545,75.8223675398799,61.1159960287769,44.0259045191676,18.8301799217627,21.8293110680176,13.6871622816652,37.0982305354582,26.3192307232928,24.2509027438721
"frc4499",4,74.8119692364025,18.5922434549127,39.2870488035519,1.94833770023234,0.490530303030303,0.661363636363636,63.0880398744834,74.8119692364025,63.6848230927411,15.9045248373464,16.1384127752358,18.5922434549127,32.2640770483788,39.2870488035519,32.1600436877
"frc7157",3,70.2730060710176,12.3094840562056,38.0789950761223,2.21117889670446,0.261111111111111,0.716666666666667,70.2730060710176,66.0193782045323,56.5788597972842,12.3094840562056,9.01252905040004,10.999484615064,37.052017416809,38.0789950761223,33.2209398715033
"frc973",4,67.5538588255888,16.2187672606071,36.4536274250956,2.16040751317545,0.783712121212121,0.621085858585859,53.5239068757761,61.9978970553096,56.8208064845915,11.4499242239629,16.2187672606071,12.5000169057521,26.3586829680941,27.9542119055723,28.3356264014547
"frc2075",4,67.3604747357745,17.4547989776179,35.5933492023096,2.17793788394535,0.191666666666667,0.675,67.3604747357745,58.6290297032634,62.8119693639821,16.3461318678308,17.0038359330224,14.9957040162013,33.816266257241,27.5575262811924,35.5933492023096
"frc2521",4,66.9280717448497,17.9357500458644,35.4946253587742,2.03102753329198,0.345833333333333,0.725,66.6174178354576,49.9773427567023,64.0084643520533,17.9357500458644,10.3136931308525,15.129357823276,34.3847418243768,30.1903333755009,28.2599250618957
"frc1718",4,65.8075530702442,16.6820656674841,35.4265118490181,2.06356526713456,0.6125,0.6,58.8875384120426,62.2497599441819,54.2425276929714,16.6820656674841,13.7406427664856,12.9293448293918,29.6818256832361,34.4899376917337,27.8213084180445
"frc359",5,65.0336226073658,17.8542915344216,33.3264194031327,2.00139838622838,0.688888888888889,0.521111111111111,58.6080838282417,55.6106971149959,42.605132253668,14.3203649753915,16.8109218485505,13.0357015587501,32.8166375672214,26.7644696539388,21.7939354411194
"frc3175",4,63.9628886546788,19.0340015113147,32.2357235267975,2.85175918905191,0.2375,0.825,61.2389037626784,59.466669535206,45.0940110199457,17.6483027496516,19.0340015113147,11.2261668401112,28.6063698069679,26.3592449449083,27.8919669472965
"frc1732",4,63.604403891751,15.0944423817219,34.6286163975691,2.08912196346704,0.0458333333333333,0.591666666666667,50.8957228688102,28.443706496817,63.604403891751,12.2257860690456,5.28157078269531,10.5559872054518,27.8039178468957,14.7395584141804,34.6286163975691
"frc422",4,62.9597120602136,17.1114382037437,27.743766608841,1.67564938881124,0.291666666666667,0.395833333333333,53.0972602387358,54.5422999433853,36.8785970405189,14.5447774393331,13.3614906135476,11.0314964419369,24.5909196165612,24.3201134039051,18.2418295805455
"frc1391",4,62.5948116131274,16.3724000335514,33.5560607633998,1.84665463647245,0.558333333333333,0.833333333333333,47.8307305051063,62.5948116131274,58.4573572720989,16.0295386949653,15.1623257986343,16.3724000335514,22.7099629932198,33.5560607633998,26.9773171171133
"frc1339",4,62.4403673143444,15.9618017756714,33.1376308308536,1.98205841621275,0.435984848484849,0.754924242424242,62.0021456156524,50.2199676489612,44.2901088312142,15.9618017756714,11.0048015746328,12.4989590060846,29.9383132739338,24.963978623322,24.2401104270192
"frc1730",3,62.1773834226741,12.8223029439533,38.9324156875669,2.0290871666634,0.333333333333333,0.766666666666667,62.1773834226741,39.9978339016753,53.7042986782974,8.72312050644352,12.8223029439533,8.03353736368145,38.9324156875669,19.3797851083394,31.0614252649207
"frc1425",4,61.8238955011281,17.6291017857499,28.2084466016121,1.93104599333421,0.408333333333333,0.491666666666667,61.8238955011281,45.1230385015009,36.4906676927818,17.6291017857499,14.8459157844714,13.3230969629806,28.2084466016121,19.4592522218359,18.7044820676083
