"","team","opr_difficulty_rating","rp_difficulty_rating"
"1","frc4613",-18.5081556541697,-0.792155829617483
"2","frc695",-17.1391202178501,-0.584581803493103
"3","frc5472",-16.6393950811252,-0.720588292281795
"4","frc230",-13.4175869399582,-0.626646924579101
"5","frc125",-13.3116557361191,-0.277700615500607
"6","frc1325",-13.2202023846342,-0.26967467095408
"7","frc3647",-12.737436417665,-0.378180153920326
"8","frc4907",-11.4632299779297,-0.373406922109829
"9","frc2883",-9.62542267434919,-0.346796688001042
"10","frc4795",-9.00940464828309,-0.411840568566222
"11","frc2767",-8.69569122056606,-0.341545279758067
"12","frc2363",-8.50556062692355,-0.272959639056721
"13","frc7769",-8.43054037978864,-0.28243350326088
"14","frc2412",-8.28577084257881,-0.234260538294914
"15","frc5216",-8.261574783516,-0.380445720282289
"16","frc4946",-8.03543409596455,-0.311761294591365
"17","frc6424",-7.22667038232302,-0.182698214818282
"18","frc5712",-7.07113018401413,-0.123842131128462
"19","frc3314",-7.06597038182812,-0.255486108113268
"20","frc20",-6.52532449766003,-0.0694084046237364
"21","frc2659",-6.44326832221863,-0.469400546943346
"22","frc321",-6.03279365324835,-0.0682771140245597
"23","frc1731",-5.99516984720058,-0.015877332361763
"24","frc5406",-5.87305124492048,-0.219502608648562
"25","frc2590",-5.35990778255408,-0.0224052943627832
"26","frc870",-4.91152391935835,-0.231826187468159
"27","frc1922",-4.88031253451741,-0.0951398569933599
"28","frc5460",-4.68386222217075,-0.165267193017523
"29","frc3641",-4.63654188330194,-0.0275873028912337
"30","frc1477",-4.47203618454859,-0.131008202409967
"31","frc6510",-4.22954944741871,-0.273664810876436
"32","frc3082",-3.86026337006715,-0.354399103427191
"33","frc2073",-3.67130297595406,-0.115628529333447
"34","frc4206",-3.48867392440534,-0.0755619205003283
"35","frc3035",-3.4332014315297,0.0361146333813279
"36","frc2054",-3.40594897353862,-0.109981930611235
"37","frc3414",-2.0155724458977,-0.237234396506763
"38","frc1038",-0.920002542714485,-0.0895251217879737
"39","frc4201",-0.327944670216604,0.00689705796437887
"40","frc100",0.0411144556906592,0.374664416854587
"41","frc6081",0.276302138174871,0.0125316770605581
"42","frc1781",1.53139903169969,0.195786375767012
"43","frc1533",1.71605363549402,-0.110957593153299
"44","frc4272",1.9561887899385,-0.0290527056721221
"45","frc9136",1.9926284880836,0.243949760321245
"46","frc2264",2.02271400973938,-0.095635505353341
"47","frc8575",2.18044655909596,0.0135300175690179
"48","frc9000",2.18772232643402,0.191082437712541
"49","frc2486",2.58220281935775,0.048357800116836
"50","frc6838",2.76676480523429,-0.0509452784013861
"51","frc2333",3.09379458370299,0.394412752168916
"52","frc2491",3.63564089383541,0.206018513802788
"53","frc3928",3.97982825757906,0.341801476974377
"54","frc5724",4.20095910132301,0.201422594180224
"55","frc203",4.55899076041576,0.123559484547892
"56","frc144",4.6603691463381,0.167616516291199
"57","frc9287",5.32888215393851,0.136362501492332
"58","frc1710",5.38256937970592,-0.00233920526907299
"59","frc2713",5.57181298580573,0.00895235087466613
"60","frc2869",5.91488991885077,0.09355284503059
"61","frc7153",6.96386425146069,0.255796193656365
"62","frc1511",7.06345045817357,0.241440113392484
"63","frc1138",7.3444157256544,0.290874412455014
"64","frc9293",7.39729065348996,0.017406787164817
"65","frc4091",7.81620072322846,0.0761380923820164
"66","frc2438",8.55573452406537,0.181950178053471
"67","frc6989",9.93638355633816,0.249353248225942
"68","frc3390",10.8171088367229,0.571773628499539
"69","frc6806",11.4838072177376,0.132287727396098
"70","frc4226",11.5284193022643,0.216514569882392
"71","frc9079",13.6763443390018,0.428022462576522
"72","frc3875",13.9546258748256,0.549934020774829
"73","frc2667",16.0562582509783,0.668586089205038
"74","frc5422",16.7818534627983,0.568549172617267
"75","frc2445",18.6358049069024,0.917631287599984
"76","frc9135",18.9261835875651,0.641969368214662
"77","frc9280",19.3771027021701,0.62447430559937
"78","frc3527",19.920081889213,0.798316173159125
