"team","num_events","max_opr","max_auto_opr","max_tele_opr","rp_cr","auto_climb","tele_climb","opr1","opr2","opr3","auto_opr1","auto_opr2","auto_opr3","tele_opr1","tele_opr2","tele_opr3"
"frc5940",2,72.0853408467769,15.0333836625623,33.6208396175328,2.23243692475053,0.65530303030303,0.685606060606061,63.6857814571941,72.0853408467769,NA,15.0247406222263,15.0333836625623,NA,29.5421888556391,33.6208396175328,NA
"frc6329",3,68.2303036451103,17.1391170476915,37.58985078591,2.33712120859752,0.472222222222222,0.666666666666667,61.6694481962661,68.2303036451103,63.5940526378103,14.3803727214604,17.1391170476915,16.5722534376088,32.3713248158494,37.58985078591,35.0291777263912
"frc7890",3,64.7449248051365,19.158365829438,32.2913523314953,2.26615673190513,0.888888888888889,0.555555555555556,44.1163901082457,58.1056447740724,64.7449248051365,14.7276661124375,16.5557293304973,19.158365829438,23.0777088202615,32.2913523314953,32.1581163361666
"frc3310",3,64.5022977229999,14.4800651309945,36.4462342346779,2.65288511393979,0.638888888888889,0.722222222222222,63.6818901180724,64.5022977229999,60.6577449791371,13.4263407208106,10.8809913327982,14.4800651309945,36.2663054388959,36.4462342346779,29.2973346459588
"frc180",3,63.6446368658715,17.6318039181574,31.7161733379894,1.99538024032522,0.85,0.883333333333333,44.2538755820828,63.6446368658715,43.3280329818089,12.5521849738022,17.6318039181574,14.9387777974148,22.9957342671278,31.7161733379894,20.7987057775906
"frc148",3,62.9688406520324,16.8882393092499,35.5501709587812,1.8105848290425,0.194444444444444,0.666666666666667,61.0922776040598,62.9688406520324,50.5386958882057,9.24584069352952,12.385988212164,16.8882393092499,32.7362621190703,35.5501709587812,24.7855365007367
"frc325",2,62.9511887137535,15.6463505178895,32.1571235765584,1.47399714839554,0.481818181818182,0.422727272727273,40.2317267116043,62.9511887137535,NA,13.9724937350723,15.6463505178895,NA,18.9449965133824,32.1571235765584,NA
"frc1868",3,62.377716612065,16.619745683049,33.934992276792,1.5133544334225,0.037037037037037,0.545454545454545,48.2446283230012,31.6853898584163,62.377716612065,16.619745683049,10.12828015988,14.3312737905898,25.3675269599162,15.8086692058181,33.934992276792
"frc3847",3,61.8426194063431,13.758932321354,35.3136238158213,1.43148071184965,0.388888888888889,0.611111111111111,50.9536145507979,61.8426194063431,39.2573664746163,13.758932321354,10.1944238587025,10.4292717096933,28.1933269630108,35.3136238158213,18.8609979938059
"frc1756",2,61.5504573856803,16.0415632605968,33.1386225895452,2.09394445357869,0.431818181818182,0.734848484848485,61.5504573856803,61.339555409532,NA,16.0415632605968,13.9148861238646,NA,33.1386225895452,32.5643980297862,NA
"frc818",3,61.387627008005,14.507142951534,32.3449311973535,1.93643115078539,0.5,0.638888888888889,44.5144916864688,61.387627008005,41.4508873911207,11.9578501997386,14.507142951534,12.961456533354,25.4078046554004,32.3449311973535,22.2937380184065
"frc2451",3,60.7740279428786,13.6496464380983,35.8147377395767,2.29681297193037,0.293706293706294,0.776223776223776,58.9710404095698,55.6683881910087,60.7740279428786,11.7642420938347,13.6496464380983,10.9517152457453,35.8147377395767,27.6839643688778,35.310449426439
"frc302",3,60.6160258512313,15.4286068382738,32.5748341556792,1.88229374465349,0.833333333333333,0.527777777777778,55.4011920454552,54.5707816974303,60.6160258512313,12.7694150916813,15.4286068382738,14.1377682123262,31.1940615000304,29.3052999277445,32.5748341556792
"frc5907",3,59.8315373346462,16.7941013015765,31.0317192921412,1.94537152663604,0.666666666666667,0.75,57.8754678322141,36.4842484615517,59.8315373346462,15.711472481131,10.9949075753566,16.7941013015765,29.1513430622289,17.6791938774177,31.0317192921412
"frc4738",2,59.2684471266385,13.6355434394542,30.8993920054128,1.90157170813791,0.625,0.458333333333333,48.0713601278757,59.2684471266385,NA,13.6355434394542,13.4888513881674,NA,22.2323981752597,30.8993920054128,NA
"frc8177",3,59.0255991618543,13.3029249764859,32.2639263659217,1.43875883122308,0.416666666666667,0.75,30.3014649861569,59.0255991618543,48.7335835313125,7.32281434356914,13.3029249764859,11.3268495678461,15.4864369099507,32.2639263659217,30.6424970240145
"frc5414",3,58.5188015158647,11.2000317401177,30.9959745768547,1.1541099099054,0.416666666666667,0.583333333333333,40.6835797902891,58.5188015158647,41.973791839465,8.61637557466254,9.48512164542259,11.2000317401177,22.7632099779701,30.9959745768547,21.9299004316586
"frc5727",3,58.5036114065919,16.679365366693,28.2418092391116,2.1427976513289,0.333333333333334,0.527777777777778,31.949207131792,54.6893319478743,58.5036114065919,9.92313268035038,12.9569193296836,16.679365366693,15.662394728364,28.2418092391116,24.8943714825756
"frc4003",3,58.1590826912205,14.578447854329,28.0243069271281,1.70941566210792,0.25,0.555555555555556,58.1590826912205,33.8028965250577,46.5020529895457,14.578447854329,7.92122101970056,12.4365807963999,28.0243069271281,19.2378265812194,24.0175311121356
"frc7021",3,58.0202321983274,12.8040632446598,32.1383822536659,1.87223088475059,0.723361823361823,0.878347578347578,42.651242236428,48.4703063676376,58.0202321983274,12.1793780835569,12.8040632446598,12.6497103492279,23.0384254016491,26.758043769808,32.1383822536659
"frc4270",3,57.5968759308964,8.96060798259284,34.1741771367114,2.1685232810667,0.333333333333333,0.638888888888889,30.6364059110037,57.5968759308964,56.9516341958379,6.61823663923533,8.96060798259284,8.67113857324258,16.8960959102839,34.1741771367114,33.8054578034125
"frc1403",3,57.4271532045351,11.5879205988898,34.8789982591581,1.73017566052693,0,0.583333333333333,57.4271532045351,41.5847553729312,51.7697228189277,8.90560762015557,11.5879205988898,10.1561390106256,34.8789982591581,21.4748238160494,31.6405618242261
"frc4253",2,57.2537054691654,16.7981502063123,31.7610170118569,2.10732230172898,0.75,0.791666666666667,48.9194388422301,57.2537054691654,NA,16.6467017061703,16.7981502063123,NA,22.3107513845096,31.7610170118569,NA
"frc449",3,56.8734531175277,14.4985673764101,27.404933785983,1.29704294237217,0.222222222222222,0.722222222222222,56.8734531175277,27.3374250612355,42.6114942633951,14.4985673764101,7.9660615410979,10.9748314229966,27.404933785983,13.9164541642822,24.5036660039395
"frc7220",3,56.0787589995174,16.8925426331475,28.3600647228694,1.66564089690384,0.527777777777778,0.722222222222222,25.8233512042639,42.2897911776238,56.0787589995174,4.22945494416479,9.54320198061832,16.8925426331475,14.9528759250692,23.4802324034959,28.3600647228694
"frc4131",4,55.8475390955878,14.6549302789762,29.5792891456805,1.12058953669171,0.291666666666667,0.791666666666667,55.8475390955878,36.1102278958578,40.4220312603045,13.1041160850456,14.6549302789762,7.82894359417584,29.5792891456805,16.8083552390224,26.0547352175631
"frc1100",3,55.7765990190385,12.4052896136988,33.0195316345492,1.67582974220235,0.472222222222222,0.777777777777778,39.7023831537771,55.7765990190385,34.0555474950339,11.9057836031563,12.4052896136988,5.3997468857579,19.8127787650027,33.0195316345492,21.5761211417937
"frc343",3,55.5433943884659,13.8189351738452,29.9875798611189,1.53764661009195,0.598290598290599,0.80982905982906,55.5433943884659,33.4356998725911,44.4637597723905,13.8189351738452,8.26112293562089,9.41405587436128,29.9875798611189,20.2496131741179,24.0106813905091
"frc5687",3,54.6964308044597,15.3008825491322,27.980533562943,1.74252045655858,0.652777777777778,0.541666666666667,47.3984493386313,54.6964308044597,42.3556661978988,12.3466817136312,15.3008825491322,13.3346631975354,23.9088417039841,27.980533562943,23.5888749686272
"frc6995",3,54.6254870566922,12.9731734290618,29.8188547482502,1.45893182087546,0.444444444444445,0.666666666666667,54.6254870566922,32.3020282912128,49.32772559556,12.9731734290618,6.40049215289205,10.636581996075,29.4788777346688,23.6274943600343,29.8188547482502
"frc8426",3,52.9403675269687,14.2444442641957,29.306564505568,1.33865714789782,0.472222222222222,0.805555555555555,52.9403675269687,27.7119308812562,49.0945450047972,14.2444442641957,8.82282559886274,11.9713053375181,29.306564505568,14.0555550911509,27.9994089066306
"frc2637",2,52.3412064622118,9.61598972296879,22.1851548192978,1.30322002955485,0.3,0.8,52.3412064622118,28.1027525212075,NA,9.61598972296879,0.100021688931073,NA,22.1851548192978,13.8161700109288,NA
"frc1771",3,52.2565640374395,18.5402543164761,24.9169071502017,1.8119742326296,0.5,0.75,50.8093783822154,40.1561180110374,52.2565640374395,18.5402543164761,17.642438871079,15.7948891967708,21.9052291900115,17.8048220174532,24.9169071502017
"frc5901",3,51.8841453514782,13.2020610986221,31.1078903385784,1.70501066117005,0.305555555555556,0.694444444444445,41.156474841862,35.4781167218058,51.8841453514782,9.62528292085292,7.37497355014246,13.2020610986221,23.7550924610176,20.7507435695051,31.1078903385784
"frc4392",3,51.4920471346159,12.936620832419,27.1519052193847,1.5930196042167,0.0555555555555557,0.611111111111111,42.1967924004371,29.6370617462587,51.4920471346159,12.5582054313407,8.9429696243161,12.936620832419,19.9057805605732,15.0758903328592,27.1519052193847
"frc115",2,51.059529734213,14.647784627793,24.5971896202607,1.5691669691036,0.563636363636363,0.677272727272727,51.059529734213,47.9843160631444,NA,14.647784627793,13.60400297644,NA,24.349653299036,24.5971896202607,NA
