"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","5","blue","frc9033","frc122","frc422","85","0","3","None","Level","45","67","Park","Level"
"2","8","red","frc619","frc9003","frc422","59","12","23","Docked","NotLevel","11","31","Docked","Level"
"3","13","red","frc422","frc540","frc1885","45","6","21","Docked","Level","19","19","None","Level"
"4","18","red","frc401","frc422","frc6802","122","24","45","None","Level","37","57","Park","Level"
"5","24","blue","frc422","frc2106","frc6504","94","12","27","Docked","Level","37","47","None","NotLevel"
"6","31","red","frc422","frc4456","frc3373","77","9","12","None","Level","28","50","Docked","Level"
"7","39","blue","frc2028","frc422","frc346","70","12","30","Docked","Level","19","25","Park","Level"
"8","42","blue","frc3359","frc623","frc422","46","0","15","None","Level","6","26","Park","Level"
"9","47","blue","frc422","frc8230","frc1262","109","18","24","None","NotLevel","35","65","Park","Level"
"10","55","blue","frc1629","frc422","frc2363","174","15","29","None","NotLevel","66","88","Docked","Level"
"11","59","red","frc977","frc422","frc3361","54","13","27","Docked","NotLevel","6","12","None","NotLevel"
"12","65","red","frc4505","frc9235","frc422","73","15","30","Docked","Level","25","33","Park","NotLevel"
