"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","4","red","frc1629","frc540","frc1086","33","6","9","None","NotLevel","14","24","None","Level"
"2","9","red","frc540","frc404","frc3373","35","4","4","None","Level","14","26","None","Level"
"3","13","red","frc422","frc540","frc1885","45","6","21","None","Level","19","19","None","Level"
"4","22","blue","frc540","frc1262","frc3136","77","0","11","None","NotLevel","26","56","Park","Level"
"5","26","red","frc623","frc6802","frc540","74","6","24","None","Level","20","30","Docked","Level"
"6","30","blue","frc9033","frc5724","frc540","51","6","9","None","Level","22","32","Park","NotLevel"
"7","39","red","frc540","frc1915","frc977","39","6","9","None","NotLevel","10","20","Park","Level"
"8","45","blue","frc2028","frc540","frc3361","64","8","14","None","Level","23","45","Park","Level"
"9","48","blue","frc540","frc8592","frc9003","47","3","6","None","Level","16","26","None","NotLevel"
"10","52","blue","frc2106","frc3359","frc540","36","6","21","None","Level","13","15","None","NotLevel"
"11","58","blue","frc2363","frc540","frc1731","57","6","12","None","NotLevel","26","30","None","NotLevel"
"12","63","red","frc6504","frc346","frc540","60","3","9","None","Level","22","36","Park","Level"
