"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","6","blue","frc346","frc1915","frc2106","65","9","23","None","NotLevel","17","37","None","Level"
"2","10","blue","frc5724","frc623","frc1915","39","3","9","None","NotLevel","5","25","Docked","Level"
"3","16","blue","frc4505","frc1086","frc1915","47","6","12","None","Level","5","25","None","Level"
"4","20","red","frc1915","frc3359","frc3939","18","6","12","None","Level","4","6","None","Level"
"5","29","red","frc1915","frc8592","frc122","65","9","23","None","NotLevel","22","42","Docked","Level"
"6","32","blue","frc2028","frc1915","frc6504","43","4","10","None","Level","28","28","Docked","Level"
"7","39","red","frc540","frc1915","frc977","39","6","9","None","NotLevel","10","20","Docked","Level"
"8","42","red","frc9003","frc4456","frc1915","47","6","9","None","NotLevel","13","33","Docked","Level"
"9","51","blue","frc3361","frc1629","frc1915","55","7","18","Docked","NotLevel","29","37","None","NotLevel"
"10","56","blue","frc3373","frc1915","frc9235","62","4","22","Docked","Level","15","35","Docked","Level"
"11","60","red","frc1915","frc9033","frc8230","76","12","27","None","Level","17","39","None","Level"
"12","67","red","frc1915","frc6802","frc6194","95","12","33","None","Level","17","47","None","Level"
