"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","4","blue","frc3136","frc6802","frc977","98","16","34","Docked","Level","37","59","Docked","Level"
"2","11","red","frc6802","frc122","frc2028","61","4","7","None","Level","24","44","Docked","Level"
"3","15","blue","frc8592","frc6802","frc4456","64","12","33","Docked","Level","19","31","Docked","Level"
"4","18","red","frc401","frc422","frc6802","122","24","45","Docked","Level","37","57","None","Level"
"5","26","red","frc623","frc6802","frc540","74","6","24","Docked","Level","20","30","Docked","Level"
"6","30","red","frc2106","frc9003","frc6802","88","15","21","None","Level","35","47","Docked","NotLevel"
"7","36","red","frc6802","frc2363","frc4505","103","16","27","None","NotLevel","39","61","Park","Level"
"8","40","blue","frc1885","frc1086","frc6802","65","9","27","Docked","Level","14","28","Docked","Level"
"9","51","red","frc3373","frc3939","frc6802","81","14","35","Docked","Level","31","41","Docked","NotLevel"
"10","57","blue","frc6802","frc619","frc346","120","12","29","Docked","NotLevel","24","46","Docked","Level"
"11","62","blue","frc6802","frc1262","frc9235","55","6","27","Docked","Level","15","23","Docked","NotLevel"
"12","67","red","frc1915","frc6802","frc6194","95","12","33","Docked","Level","17","47","None","Level"
