"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","1","blue","frc2106","frc3373","frc1731","135","12","26","None","NotLevel","44","64","Docked","Level"
"2","9","red","frc540","frc404","frc3373","35","4","4","None","Level","14","26","Docked","Level"
"3","12","red","frc3373","frc2363","frc6194","116","18","33","None","Level","46","58","Docked","NotLevel"
"4","19","blue","frc3373","frc122","frc1629","85","9","20","None","NotLevel","30","60","Docked","Level"
"5","23","blue","frc9003","frc4505","frc3373","36","13","13","None","Level","11","23","None","Level"
"6","31","red","frc422","frc4456","frc3373","77","9","12","None","Level","28","50","Docked","Level"
"7","38","red","frc401","frc3373","frc3136","101","15","32","None","NotLevel","41","47","Park","NotLevel"
"8","41","blue","frc1262","frc5724","frc3373","40","3","6","None","Level","17","29","Docked","NotLevel"
"9","51","red","frc3373","frc3939","frc6802","81","14","35","None","Level","31","41","Docked","NotLevel"
"10","56","blue","frc3373","frc1915","frc9235","62","4","22","None","Level","15","35","Docked","Level"
"11","61","red","frc1086","frc3373","frc2028","75","7","28","Docked","Level","15","37","Docked","Level"
"12","65","blue","frc3361","frc3373","frc1885","56","11","17","None","NotLevel","12","24","Docked","NotLevel"
