"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","3","blue","frc4456","frc2363","frc6504","119","6","21","Docked","Level","46","68","Park","Level"
"2","12","red","frc3373","frc2363","frc6194","116","18","33","Docked","Level","46","58","Docked","NotLevel"
"3","17","blue","frc2363","frc9033","frc3939","98","18","36","Docked","Level","42","42","Docked","NotLevel"
"4","21","red","frc619","frc2363","frc5724","122","21","32","Docked","NotLevel","40","60","Docked","Level"
"5","24","red","frc404","frc401","frc2363","130","12","30","Docked","Level","55","75","Docked","Level"
"6","32","red","frc8230","frc3361","frc2363","110","18","39","Docked","Level","36","56","Docked","Level"
"7","36","red","frc6802","frc2363","frc4505","103","16","27","Docked","NotLevel","39","61","Docked","Level"
"8","41","red","frc2363","frc3136","frc2106","145","18","36","Docked","Level","57","79","Park","Level"
"9","50","blue","frc1086","frc9235","frc2363","88","12","27","Docked","Level","29","51","Park","Level"
"10","55","blue","frc1629","frc422","frc2363","174","15","29","None","NotLevel","66","88","Docked","Level"
"11","58","blue","frc2363","frc540","frc1731","57","6","12","None","NotLevel","26","30","Docked","NotLevel"
"12","67","blue","frc2363","frc9003","frc122","128","9","27","Docked","Level","51","71","Docked","Level"
