"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","13","blue","frc3663","frc3322","frc1700","157","14","35","62","92","2"
"2","24","red","frc4476","frc3663","frc2687","158","19","36","62","92","4"
"3","36","red","frc9180","frc3663","frc6036","174","25","46","58","88","2"
"4","46","blue","frc5232","frc3663","frc8724","175","15","36","70","92","4"
"5","57","red","frc834","frc687","frc3663","158","19","40","63","83","4"
"6","77","red","frc2506","frc3663","frc8159","113","12","30","50","58","0"
"7","86","red","frc118","frc548","frc3663","200","21","42","73","103","4"
"8","94","blue","frc3663","frc3459","frc1768","124","16","22","60","72","1"
"9","104","blue","frc862","frc3256","frc3663","122","16","22","45","75","1"
"10","121","blue","frc3663","frc1561","frc2106","161","17","38","58","88","4"
