"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","9","red","frc254","frc5809","frc9038","140","18","29","59","81","2"
"2","25","blue","frc6036","frc3322","frc5809","151","20","31","60","90","2"
"3","38","blue","frc1189","frc5809","frc3142","115","18","36","34","54","2"
"4","50","red","frc2106","frc111","frc5809","138","31","37","54","76","1"
"5","59","red","frc6002","frc9180","frc5809","58","9","12","19","41","0"
"6","69","blue","frc5809","frc7444","frc6328","91","26","37","22","34","0"
"7","81","red","frc4362","frc5809","frc4028","163","18","32","66","96","2"
"8","91","blue","frc5809","frc1884","frc1619","127","15","33","49","69","3"
"9","114","blue","frc5809","frc4476","frc4598","118","10","25","53","73","1"
"10","122","blue","frc8159","frc5809","frc2468","150","24","45","50","70","4"
