"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","2","blue","frc1884","frc4903","frc9180","120","15","29","41","61","3"
"2","22","blue","frc4903","frc6002","frc3061","147","24","45","50","72","2"
"3","38","red","frc4903","frc6078","frc3459","119","18","36","41","63","3"
"4","48","red","frc4903","frc4476","frc1481","164","24","45","61","79","4"
"5","58","blue","frc3130","frc2202","frc4903","147","15","36","59","81","4"
"6","72","blue","frc687","frc4903","frc120","150","18","39","51","71","4"
"7","80","red","frc4903","frc1619","frc1700","153","21","42","64","76","1"
"8","101","blue","frc3322","frc2607","frc4903","182","16","34","66","96","4"
"9","109","red","frc9059","frc33","frc4903","139","15","36","59","73","3"
"10","120","blue","frc5635","frc4903","frc6036","164","24","38","64","86","4"
