"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","4","red","frc2468","frc834","frc2506","123","22","43","38","60","3"
"2","15","red","frc6328","frc834","frc8159","126","24","45","39","61","1"
"3","30","blue","frc2220","frc2106","frc834","116","18","27","50","64","1"
"4","48","blue","frc834","frc9134","frc6078","140","15","36","52","74","2"
"5","57","red","frc834","frc687","frc3663","158","19","40","63","83","4"
"6","66","red","frc3130","frc7563","frc834","139","21","27","52","82","2"
"7","82","red","frc9059","frc834","frc862","119","12","33","32","54","1"
"8","103","blue","frc624","frc254","frc834","182","28","49","63","93","4"
"9","115","blue","frc834","frc8729","frc3015","152","25","46","44","66","2"
"10","123","blue","frc2607","frc4373","frc834","161","28","49","55","77","4"
