"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","4","blue","frc5045","frc2687","frc1700","88","14","29","39","39","0"
"2","24","red","frc4476","frc3663","frc2687","158","19","36","62","92","4"
"3","32","red","frc9067","frc5635","frc2687","136","22","43","33","63","2"
"4","41","blue","frc6328","frc2687","frc118","165","22","43","65","87","4"
"5","54","blue","frc2687","frc8729","frc4028","165","21","42","66","88","4"
"6","70","red","frc2687","frc5993","frc78","131","18","36","45","65","3"
"7","79","blue","frc2202","frc2687","frc33","145","19","40","53","75","4"
"8","98","red","frc2687","frc8085","frc2056","209","25","43","94","116","4"
"9","108","blue","frc2687","frc1619","frc972","193","33","54","72","94","4"
"10","128","red","frc6002","frc3142","frc2687","181","22","43","66","88","4"
