"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","6","red","frc2457","frc2106","frc7211","111","12","26","47","65","1"
"2","19","red","frc2106","frc118","frc27","158","21","39","59","89","2"
"3","30","blue","frc2220","frc2106","frc834","116","18","27","50","64","1"
"4","50","red","frc2106","frc111","frc5809","138","31","37","54","76","1"
"5","64","red","frc8159","frc3459","frc2106","94","15","30","35","49","0"
"6","77","blue","frc2106","frc2056","frc9134","148","22","40","56","78","4"
"7","90","blue","frc2847","frc324","frc2106","144","18","32","60","82","2"
"8","101","red","frc9101","frc2106","frc6328","168","25","46","65","87","2"
"9","112","blue","frc2106","frc70","frc4","149","18","36","58","88","2"
"10","121","blue","frc3663","frc1561","frc2106","161","17","38","58","88","4"
