"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","11","blue","frc1189","frc9059","frc9101","123","9","30","46","68","2"
"2","21","blue","frc2056","frc9101","frc6078","165","25","46","62","84","4"
"3","37","blue","frc4373","frc9101","frc4476","158","18","39","54","84","2"
"4","51","red","frc2582","frc3459","frc9101","99","9","27","35","57","1"
"5","62","red","frc9101","frc1700","frc4","82","4","10","33","47","0"
"6","76","blue","frc9101","frc3061","frc8085","133","9","30","51","73","2"
"7","88","red","frc111","frc1561","frc9101","168","22","43","63","85","4"
"8","101","red","frc9101","frc2106","frc6328","168","25","46","65","87","2"
"9","113","blue","frc2905","frc4362","frc9101","123","9","27","49","71","2"
"10","122","red","frc3256","frc9101","frc33","137","11","32","48","70","2"
