"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","5","red","frc2875","frc2202","frc4362","137","13","31","46","66","2"
"2","15","blue","frc8085","frc4362","frc9148","142","15","36","61","69","3"
"3","28","blue","frc972","frc3256","frc4362","134","16","25","62","84","1"
"4","45","blue","frc4373","frc4362","frc7563","177","22","43","62","84","4"
"5","55","blue","frc27","frc2457","frc4362","138","21","27","56","86","2"
"6","71","red","frc4362","frc6002","frc862","156","27","48","58","78","4"
"7","81","red","frc4362","frc5809","frc4028","163","18","32","66","96","2"
"8","99","red","frc6036","frc4362","frc7211","185","28","42","76","98","4"
"9","113","blue","frc2905","frc4362","frc9101","123","9","27","49","71","2"
"10","121","red","frc4362","frc4","frc5993","152","26","44","53","73","2"
