"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","2","red","frc9067","frc4598","frc7444","111","9","24","40","62","1"
"2","26","blue","frc254","frc7444","frc7563","159","18","36","63","93","4"
"3","34","red","frc7444","frc6002","frc1481","116","18","33","41","63","1"
"4","49","blue","frc7444","frc1577","frc3142","156","18","35","61","91","4"
"5","60","blue","frc3015","frc7444","frc5993","141","16","31","55","85","2"
"6","69","blue","frc5809","frc7444","frc6328","91","26","37","22","34","0"
"7","79","red","frc1574","frc6078","frc7444","141","28","46","50","70","2"
"8","102","red","frc4373","frc1700","frc7444","137","21","42","50","70","2"
"9","113","red","frc7444","frc624","frc3130","124","22","40","51","59","3"
"10","124","blue","frc70","frc7444","frc4476","163","24","45","58","88","2"
