"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","6","blue","frc548","frc111","frc8085","150","28","34","56","86","4"
"2","14","red","frc2202","frc2607","frc548","143","15","21","57","87","4"
"3","31","blue","frc4598","frc548","frc5993","109","16","19","48","70","0"
"4","42","red","frc548","frc687","frc8729","130","12","33","47","77","1"
"5","53","red","frc9067","frc70","frc548","153","21","39","57","79","2"
"6","72","red","frc1884","frc1561","frc548","127","12","27","50","70","2"
"7","86","red","frc118","frc548","frc3663","200","21","42","73","103","4"
"8","95","blue","frc78","frc548","frc5045","122","12","30","45","67","1"
"9","108","red","frc8724","frc548","frc3459","112","18","33","39","59","1"
"10","119","blue","frc548","frc27","frc1189","145","18","39","56","76","2"
