"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","4","red","frc2468","frc834","frc2506","123","22","43","38","60","3"
"2","16","red","frc324","frc2468","frc8724","194","24","45","77","99","4"
"3","29","blue","frc7211","frc9148","frc2468","161","16","37","59","89","2"
"4","42","blue","frc2468","frc3256","frc27","157","15","36","61","81","4"
"5","55","red","frc78","frc120","frc2468","158","21","42","59","81","4"
"6","65","blue","frc2905","frc2468","frc1574","157","24","42","61","75","3"
"7","78","red","frc2468","frc3130","frc1102","187","22","43","72","94","4"
"8","92","blue","frc862","frc2468","frc2582","145","37","58","32","62","2"
"9","106","blue","frc9038","frc118","frc2468","193","30","51","75","97","4"
"10","122","blue","frc8159","frc5809","frc2468","150","24","45","50","70","4"
