"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","3","red","frc687","frc324","frc6328","168","31","52","59","81","2"
"2","15","red","frc6328","frc834","frc8159","126","24","45","39","61","1"
"3","27","red","frc2875","frc6328","frc8085","127","20","23","60","74","3"
"4","41","blue","frc6328","frc2687","frc118","165","22","43","65","87","4"
"5","56","blue","frc1561","frc6328","frc2905","120","18","36","50","64","2"
"6","69","blue","frc5809","frc7444","frc6328","91","26","37","22","34","0"
"7","78","blue","frc5993","frc6328","frc9067","101","24","38","44","48","0"
"8","101","red","frc9101","frc2106","frc6328","168","25","46","65","87","2"
"9","116","blue","frc6328","frc972","frc254","193","34","52","74","96","4"
"10","125","red","frc6328","frc3459","frc78","147","25","46","58","76","2"
