"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","11","red","frc70","frc2220","frc1619","140","18","39","54","76","4"
"2","20","red","frc2220","frc4373","frc3256","105","22","40","31","45","0"
"3","30","blue","frc2220","frc2106","frc834","116","18","27","50","64","1"
"4","52","blue","frc2220","frc9038","frc7174","132","18","39","55","63","1"
"5","63","red","frc2220","frc2506","frc5232","140","15","21","54","84","2"
"6","71","blue","frc324","frc1700","frc2220","100","3","9","49","71","0"
"7","84","blue","frc3459","frc2220","frc1481","121","12","29","45","67","1"
"8","95","red","frc1577","frc2220","frc118","199","24","45","64","94","4"
"9","105","red","frc120","frc8159","frc2220","128","18","36","47","67","2"
"10","127","blue","frc8729","frc2875","frc2220","128","18","39","47","69","1"
