"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","12","blue","frc3459","frc5993","frc6036","119","28","43","44","46","1"
"2","23","red","frc7174","frc5993","frc2905","73","9","24","22","44","1"
"3","31","blue","frc4598","frc548","frc5993","109","16","19","48","70","0"
"4","40","blue","frc5993","frc9038","frc70","99","18","18","36","66","3"
"5","60","blue","frc3015","frc7444","frc5993","141","16","31","55","85","2"
"6","70","red","frc2687","frc5993","frc78","131","18","36","45","65","3"
"7","78","blue","frc5993","frc6328","frc9067","101","24","38","44","48","0"
"8","91","red","frc3142","frc5993","frc2202","103","15","33","35","55","1"
"9","109","blue","frc5993","frc4028","frc7211","130","27","41","50","64","1"
"10","121","red","frc4362","frc4","frc5993","152","26","44","53","73","2"
