"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","7","blue","frc3142","frc8159","frc5232","109","10","25","37","59","1"
"2","17","red","frc78","frc7211","frc3142","169","24","45","59","89","4"
"3","38","blue","frc1189","frc5809","frc3142","115","18","36","34","54","2"
"4","49","blue","frc7444","frc1577","frc3142","156","18","35","61","91","4"
"5","61","blue","frc2847","frc3142","frc5635","122","18","39","46","58","1"
"6","74","red","frc3015","frc4598","frc3142","153","18","36","68","82","3"
"7","82","blue","frc2457","frc3142","frc8729","121","12","33","26","48","3"
"8","91","red","frc3142","frc5993","frc2202","103","15","33","35","55","1"
"9","112","red","frc3142","frc4373","frc687","160","24","45","58","80","4"
"10","128","red","frc6002","frc3142","frc2687","181","22","43","66","88","4"
