"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","1","blue","frc2607","frc33","frc862","162","23","44","61","83","4"
"2","19","blue","frc1619","frc4028","frc33","162","28","45","62","82","4"
"3","36","blue","frc111","frc1574","frc33","177","32","53","62","84","4"
"4","44","red","frc33","frc1768","frc3061","177","26","44","63","93","2"
"5","58","red","frc5045","frc33","frc324","137","12","27","58","80","2"
"6","68","red","frc33","frc8729","frc4373","137","12","33","54","74","2"
"7","79","blue","frc2202","frc2687","frc33","145","19","40","53","75","4"
"8","96","blue","frc33","frc7174","frc6002","174","28","49","60","90","4"
"9","109","red","frc9059","frc33","frc4903","139","15","36","59","73","3"
"10","122","red","frc3256","frc9101","frc33","137","11","32","48","70","2"
