"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","9","blue","frc7174","frc78","frc4373","151","21","42","54","84","4"
"2","20","red","frc2220","frc4373","frc3256","105","22","40","31","45","0"
"3","37","blue","frc4373","frc9101","frc4476","158","18","39","54","84","2"
"4","45","blue","frc4373","frc4362","frc7563","177","22","43","62","84","4"
"5","56","red","frc1619","frc6078","frc4373","118","18","39","47","59","0"
"6","68","red","frc33","frc8729","frc4373","137","12","33","54","74","2"
"7","86","blue","frc3015","frc4373","frc6002","103","20","35","31","53","1"
"8","102","red","frc4373","frc1700","frc7444","137","21","42","50","70","2"
"9","112","red","frc3142","frc4373","frc687","160","24","45","58","80","4"
"10","123","blue","frc2607","frc4373","frc834","161","28","49","55","77","4"
