"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","13","red","frc6078","frc3061","frc2847","161","15","33","66","88","4"
"2","21","blue","frc2056","frc9101","frc6078","165","25","46","62","84","4"
"3","38","red","frc4903","frc6078","frc3459","119","18","36","41","63","3"
"4","48","blue","frc834","frc9134","frc6078","140","15","36","52","74","2"
"5","56","red","frc1619","frc6078","frc4373","118","18","39","47","59","0"
"6","67","blue","frc6078","frc9067","frc9148","115","18","36","42","64","3"
"7","79","red","frc1574","frc6078","frc7444","141","28","46","50","70","2"
"8","92","red","frc6078","frc254","frc4476","202","34","52","65","95","4"
"9","105","blue","frc1768","frc7174","frc6078","167","21","42","68","90","4"
"10","126","blue","frc6078","frc1102","frc687","180","16","33","75","97","4"
