"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","1","red","frc4","frc2905","frc9148","66","9","12","22","44","0"
"2","23","red","frc7174","frc5993","frc2905","73","9","24","22","44","1"
"3","31","red","frc1700","frc2056","frc2905","130","13","28","52","72","4"
"4","46","red","frc4028","frc2905","frc5045","82","9","27","25","45","1"
"5","56","blue","frc1561","frc6328","frc2905","120","18","36","50","64","2"
"6","65","blue","frc2905","frc2468","frc1574","157","24","42","61","75","3"
"7","85","blue","frc70","frc8085","frc2905","145","18","32","61","83","4"
"8","100","blue","frc3061","frc2905","frc9059","78","12","27","14","36","1"
"9","113","blue","frc2905","frc4362","frc9101","123","9","27","49","71","2"
"10","127","red","frc2905","frc2582","frc111","151","12","30","66","86","4"
