"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","10","blue","frc5635","frc1561","frc6002","151","25","31","55","85","4"
"2","24","blue","frc3130","frc5635","frc9059","87","8","29","12","14","0"
"3","32","red","frc9067","frc5635","frc2687","136","22","43","33","63","2"
"4","40","red","frc9148","frc120","frc5635","95","18","21","39","59","0"
"5","61","blue","frc2847","frc3142","frc5635","122","18","39","46","58","1"
"6","75","blue","frc1577","frc2607","frc5635","168","18","36","57","87","4"
"7","84","red","frc27","frc5635","frc254","167","24","42","60","90","4"
"8","96","red","frc4598","frc1189","frc5635","128","16","31","43","65","1"
"9","107","red","frc5635","frc5045","frc1884","84","10","25","34","44","0"
"10","120","blue","frc5635","frc4903","frc6036","164","24","38","64","86","4"
