"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","2","red","frc9067","frc4598","frc7444","111","9","24","40","62","1"
"2","17","blue","frc9067","frc2582","frc120","149","16","37","57","87","2"
"3","32","red","frc9067","frc5635","frc2687","136","22","43","33","63","2"
"4","44","blue","frc2056","frc9067","frc1561","194","28","46","73","103","4"
"5","53","red","frc9067","frc70","frc548","153","21","39","57","79","2"
"6","67","blue","frc6078","frc9067","frc9148","115","18","36","42","64","3"
"7","78","blue","frc5993","frc6328","frc9067","101","24","38","44","48","0"
"8","90","red","frc5232","frc6036","frc9067","187","21","39","73","103","4"
"9","103","red","frc9134","frc4","frc9067","68","12","21","31","37","0"
"10","117","blue","frc9180","frc9067","frc2202","90","12","33","25","47","1"
