"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","8","blue","frc120","frc9134","frc1577","142","15","24","58","88","2"
"2","16","blue","frc9134","frc1574","frc4598","107","19","37","28","50","1"
"3","27","blue","frc324","frc9134","frc9038","104","15","33","36","56","1"
"4","48","blue","frc834","frc9134","frc6078","140","15","36","52","74","2"
"5","61","red","frc111","frc2875","frc9134","122","23","34","38","68","2"
"6","77","blue","frc2106","frc2056","frc9134","148","22","40","56","78","4"
"7","89","red","frc7563","frc8159","frc9134","86","12","15","24","44","0"
"8","103","red","frc9134","frc4","frc9067","68","12","21","31","37","0"
"9","111","blue","frc9134","frc2457","frc1700","109","9","30","37","49","1"
"10","119","red","frc1768","frc2847","frc9134","158","24","45","61","83","4"
"11","129","blue","frc3015","frc9134","frc972","155","16","34","66","86","2"
