"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","10","red","frc4028","frc624","frc3256","147","21","39","56","78","2"
"2","19","blue","frc1619","frc4028","frc33","162","28","45","62","82","4"
"3","37","red","frc1577","frc4028","frc2457","194","24","45","69","99","4"
"4","46","red","frc4028","frc2905","frc5045","82","9","27","25","45","1"
"5","54","blue","frc2687","frc8729","frc4028","165","21","42","66","88","4"
"6","66","blue","frc2202","frc7174","frc4028","151","21","27","59","89","4"
"7","81","red","frc4362","frc5809","frc4028","163","18","32","66","96","2"
"8","97","blue","frc4028","frc687","frc2506","158","27","48","53","75","4"
"9","109","blue","frc5993","frc4028","frc7211","130","27","41","50","64","1"
"10","125","blue","frc1700","frc4028","frc1884","163","24","45","53","83","4"
