"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","10","blue","frc5635","frc1561","frc6002","151","25","31","55","85","4"
"2","22","blue","frc4903","frc6002","frc3061","147","24","45","50","72","2"
"3","34","red","frc7444","frc6002","frc1481","116","18","33","41","63","1"
"4","51","blue","frc1102","frc6002","frc2847","180","28","49","61","91","4"
"5","59","red","frc6002","frc9180","frc5809","58","9","12","19","41","0"
"6","71","red","frc4362","frc6002","frc862","156","27","48","58","78","4"
"7","86","blue","frc3015","frc4373","frc6002","103","20","35","31","53","1"
"8","96","blue","frc33","frc7174","frc6002","174","28","49","60","90","4"
"9","116","red","frc6002","frc1574","frc2056","187","28","46","74","96","2"
"10","128","red","frc6002","frc3142","frc2687","181","22","43","66","88","4"
