"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","12","red","frc4476","frc3015","frc7563","137","26","35","55","67","2"
"2","21","red","frc4","frc1884","frc3015","125","19","37","38","68","1"
"3","29","red","frc2202","frc3015","frc1561","179","20","26","78","108","4"
"4","50","blue","frc1189","frc3130","frc3015","158","16","30","68","98","4"
"5","60","blue","frc3015","frc7444","frc5993","141","16","31","55","85","2"
"6","74","red","frc3015","frc4598","frc3142","153","18","36","68","82","3"
"7","86","blue","frc3015","frc4373","frc6002","103","20","35","31","53","1"
"8","97","red","frc9180","frc3015","frc8159","113","23","26","40","62","1"
"9","115","blue","frc834","frc8729","frc3015","152","25","46","44","66","2"
"10","129","blue","frc3015","frc9134","frc972","155","16","34","66","86","2"
