"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","9","blue","frc7174","frc78","frc4373","151","21","42","54","84","4"
"2","23","red","frc7174","frc5993","frc2905","73","9","24","22","44","1"
"3","33","red","frc3061","frc5045","frc7174","134","12","30","52","74","4"
"4","41","red","frc7211","frc862","frc7174","160","24","45","58","80","2"
"5","52","blue","frc2220","frc9038","frc7174","132","18","39","55","63","1"
"6","66","blue","frc2202","frc7174","frc4028","151","21","27","59","89","4"
"7","88","blue","frc7174","frc2506","frc4598","104","18","32","32","62","1"
"8","96","blue","frc33","frc7174","frc6002","174","28","49","60","90","4"
"9","105","blue","frc1768","frc7174","frc6078","167","21","42","68","90","4"
"10","118","red","frc1619","frc7174","frc1577","194","27","48","71","101","4"
