"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","11","red","frc70","frc2220","frc1619","140","18","39","54","76","4"
"2","19","blue","frc1619","frc4028","frc33","162","28","45","62","82","4"
"3","28","red","frc1619","frc2582","frc2506","137","18","39","51","73","4"
"4","47","red","frc1619","frc2457","frc3322","117","16","30","37","67","1"
"5","56","red","frc1619","frc6078","frc4373","118","18","39","47","59","0"
"6","68","blue","frc624","frc1102","frc1619","182","34","52","60","90","4"
"7","80","red","frc4903","frc1619","frc1700","153","21","42","64","76","1"
"8","91","blue","frc5809","frc1884","frc1619","127","15","33","49","69","3"
"9","108","blue","frc2687","frc1619","frc972","193","33","54","72","94","4"
"10","118","red","frc1619","frc7174","frc1577","194","27","48","71","101","4"
"11","129","red","frc862","frc1619","frc8085","178","16","30","73","103","4"
