"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","3","blue","frc1481","frc1768","frc2582","179","24","42","62","92","4"
"2","17","blue","frc9067","frc2582","frc120","149","16","37","57","87","2"
"3","28","red","frc1619","frc2582","frc2506","137","18","39","51","73","4"
"4","51","red","frc2582","frc3459","frc9101","99","9","27","35","57","1"
"5","60","red","frc2582","frc624","frc3061","170","18","21","69","99","4"
"6","75","red","frc6036","frc27","frc2582","167","28","34","66","88","1"
"7","83","blue","frc2582","frc4476","frc1884","132","18","24","53","83","2"
"8","92","blue","frc862","frc2468","frc2582","145","37","58","32","62","2"
"9","111","red","frc1561","frc5232","frc2582","168","15","33","70","100","4"
"10","127","red","frc2905","frc2582","frc111","151","12","30","66","86","4"
