"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","11","blue","frc1189","frc9059","frc9101","123","9","30","46","68","2"
"2","26","red","frc5232","frc1189","frc120","115","12","30","45","65","1"
"3","38","blue","frc1189","frc5809","frc3142","115","18","36","34","54","2"
"4","50","blue","frc1189","frc3130","frc3015","158","16","30","68","98","4"
"5","62","blue","frc6036","frc1481","frc1189","194","28","43","60","82","4"
"6","70","blue","frc2875","frc1189","frc9180","107","13","31","39","61","1"
"7","83","red","frc9038","frc8724","frc1189","150","21","39","59","81","4"
"8","96","red","frc4598","frc1189","frc5635","128","16","31","43","65","1"
"9","104","red","frc1189","frc2202","frc1577","167","21","27","70","100","4"
"10","119","blue","frc548","frc27","frc1189","145","18","39","56","76","2"
