"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","4","blue","frc5045","frc2687","frc1700","88","14","29","39","39","0"
"2","13","blue","frc3663","frc3322","frc1700","157","14","35","62","92","2"
"3","31","red","frc1700","frc2056","frc2905","130","13","28","52","72","4"
"4","49","red","frc1700","frc8085","frc2607","143","15","36","52","82","2"
"5","62","red","frc9101","frc1700","frc4","82","4","10","33","47","0"
"6","71","blue","frc324","frc1700","frc2220","100","3","9","49","71","0"
"7","80","red","frc4903","frc1619","frc1700","153","21","42","64","76","1"
"8","102","red","frc4373","frc1700","frc7444","137","21","42","50","70","2"
"9","111","blue","frc9134","frc2457","frc1700","109","9","30","37","49","1"
"10","125","blue","frc1700","frc4028","frc1884","163","24","45","53","83","4"
