"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","10","red","frc4028","frc624","frc3256","147","21","39","56","78","2"
"2","25","red","frc624","frc862","frc1768","175","24","45","60","90","4"
"3","35","red","frc624","frc5232","frc2607","153","18","27","61","91","4"
"4","43","blue","frc78","frc8159","frc624","147","24","45","42","72","4"
"5","60","red","frc2582","frc624","frc3061","170","18","21","69","99","4"
"6","68","blue","frc624","frc1102","frc1619","182","34","52","60","90","4"
"7","80","blue","frc2875","frc120","frc624","156","16","37","64","94","4"
"8","103","blue","frc624","frc254","frc834","182","28","49","63","93","4"
"9","113","red","frc7444","frc624","frc3130","124","22","40","51","59","3"
"10","126","red","frc7563","frc9148","frc624","133","16","37","51","71","2"
