"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","5","red","frc2875","frc2202","frc4362","137","13","31","46","66","2"
"2","14","blue","frc1481","frc2506","frc2875","123","16","34","44","74","1"
"3","27","red","frc2875","frc6328","frc8085","127","20","23","60","74","3"
"4","45","red","frc1574","frc2875","frc9059","106","10","21","43","65","1"
"5","61","red","frc111","frc2875","frc9134","122","23","34","38","68","2"
"6","70","blue","frc2875","frc1189","frc9180","107","13","31","39","61","1"
"7","80","blue","frc2875","frc120","frc624","156","16","37","64","94","4"
"8","94","red","frc2457","frc9038","frc2875","130","15","33","46","60","2"
"9","114","red","frc9148","frc3061","frc2875","149","18","32","53","75","4"
"10","127","blue","frc8729","frc2875","frc2220","128","18","39","47","69","1"
