"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","5","red","frc2875","frc2202","frc4362","137","13","31","46","66","2"
"2","14","red","frc2202","frc2607","frc548","143","15","21","57","87","4"
"3","29","red","frc2202","frc3015","frc1561","179","20","26","78","108","4"
"4","43","red","frc972","frc4598","frc2202","114","15","33","39","61","1"
"5","58","blue","frc3130","frc2202","frc4903","147","15","36","59","81","4"
"6","66","blue","frc2202","frc7174","frc4028","151","21","27","59","89","4"
"7","79","blue","frc2202","frc2687","frc33","145","19","40","53","75","4"
"8","91","red","frc3142","frc5993","frc2202","103","15","33","35","55","1"
"9","104","red","frc1189","frc2202","frc1577","167","21","27","70","100","4"
"10","117","blue","frc9180","frc9067","frc2202","90","12","33","25","47","1"
