"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","13","blue","frc3663","frc3322","frc1700","157","14","35","62","92","2"
"2","25","blue","frc6036","frc3322","frc5809","151","20","31","60","90","2"
"3","39","red","frc3322","frc2847","frc254","145","28","49","55","61","3"
"4","47","red","frc1619","frc2457","frc3322","117","16","30","37","67","1"
"5","65","red","frc3322","frc7211","frc9038","149","22","43","51","71","2"
"6","74","blue","frc1481","frc3256","frc3322","105","14","28","38","52","1"
"7","87","red","frc3322","frc9180","frc2056","175","20","38","65","87","4"
"8","101","blue","frc3322","frc2607","frc4903","182","16","34","66","96","4"
"9","110","blue","frc2506","frc111","frc3322","162","20","41","56","86","4"
"10","123","red","frc4598","frc3322","frc3130","121","14","32","39","69","1"
