"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","6","red","frc2457","frc2106","frc7211","111","12","26","47","65","1"
"2","23","blue","frc687","frc2457","frc2847","147","18","39","51","73","3"
"3","37","red","frc1577","frc4028","frc2457","194","24","45","69","99","4"
"4","47","red","frc1619","frc2457","frc3322","117","16","30","37","67","1"
"5","55","blue","frc27","frc2457","frc4362","138","21","27","56","86","2"
"6","67","red","frc5045","frc972","frc2457","110","13","16","39","69","1"
"7","82","blue","frc2457","frc3142","frc8729","121","12","33","26","48","3"
"8","94","red","frc2457","frc9038","frc2875","130","15","33","46","60","2"
"9","111","blue","frc9134","frc2457","frc1700","109","9","30","37","49","1"
"10","120","red","frc2506","frc8724","frc2457","138","22","43","41","63","1"
