"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","3","red","frc687","frc324","frc6328","168","31","52","59","81","2"
"2","16","red","frc324","frc2468","frc8724","194","24","45","77","99","4"
"3","27","blue","frc324","frc9134","frc9038","104","15","33","36","56","1"
"4","47","blue","frc4","frc324","frc9180","123","9","30","43","73","3"
"5","58","red","frc5045","frc33","frc324","137","12","27","58","80","2"
"6","71","blue","frc324","frc1700","frc2220","100","3","9","49","71","0"
"7","90","blue","frc2847","frc324","frc2106","144","18","32","60","82","2"
"8","100","red","frc972","frc1102","frc324","175","24","38","70","92","4"
"9","115","red","frc2607","frc78","frc324","161","15","36","65","95","4"
"10","124","red","frc118","frc324","frc2056","173","31","40","63","93","4"
