"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","9","blue","frc6652","frc1868","frc2791","102","18","24","None","NotLevel","51","53","Docked","NotLevel","0"
"2","26","red","frc6652","frc3008","frc2451","123","12","33","None","Level","48","70","Docked","Level","3"
"3","37","red","frc4392","frc6652","frc343","147","18","39","None","Level","56","78","Park","Level","2"
"4","49","blue","frc9016","frc6652","frc2945","117","18","27","None","Level","43","65","Park","Level","3"
"5","59","blue","frc8739","frc6652","frc4003","110","18","36","Docked","Level","44","54","Park","NotLevel","2"
"6","70","red","frc5907","frc9015","frc6652","126","15","33","None","Level","46","68","Docked","Level","3"
"7","79","red","frc6652","frc5901","frc5414","143","15","36","None","Level","47","77","Docked","Level","4"
"8","93","red","frc2637","frc8426","frc6652","112","12","30","None","Level","47","57","Docked","NotLevel","1"
"9","105","red","frc6998","frc4270","frc6652","64","13","28","Docked","Level","9","31","Park","Level","1"
"10","120","blue","frc6652","frc302","frc2370","144","12","30","Docked","Level","54","84","Park","Level","1"
