"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc1246",15.798057175984,5.80520417841213,0.273138889193994,"0.25","0.25",9.1392129331861,2.44290155396674,"0.25","0.166666666666667",0.367463170549674,"0.118224006253168"
"2","frc1305",40.8049765631451,16.8542996402119,1.7576323776389,"0.583333333333333","0.583333333333333",15.9389738764944,6.19075697908675,"0.75","0.5",0.413045198399517,"1.33864379762694"
"3","frc1334",15.6717484683537,4.38349865670684,0.0811085071643641,"0","0",10.2153670580403,1.68591096424034,"0.333333333333333","0.25",0.279707057930297,"0.33842533947118"
"4","frc1374",20.8280006534686,4.18030886559092,0.0060569191365421,"0","0",14.417131220969,2.92912981519867,"0.916666666666667","0.833333333333333",0.200706200040125,"0.258297090351343"
"5","frc2013",53.0343400308541,14.5615977193742,1.30997923711725,"0.75","0.666666666666667",24.7248934174385,5.64553485934005,"0.916666666666667","0.666666666666667",0.274569226484248,"1.81487842239894"
"6","frc2706",38.3704200516882,6.19259003287636,0.537624628079088,"0.0833333333333333","0.0833333333333333",24.7592419201119,4.30241888479351,"1","0.666666666666667",0.161389685714528,"0.485312684661145"
"7","frc2708",31.2788775905862,7.84897735704698,0.611514511820721,"0.333333333333333","0.0833333333333333",18.1557626589768,3.55182698609611,"0.583333333333333","0.5",0.250935390322613,"1.49098466658151"
"8","frc3543",24.4376044941286,3.53804769206982,0.788090365673385,"0","0",17.1160249594038,2.58567272160276,"0.416666666666667","0.416666666666667",0.144778826129209,"0.467187808157256"
"9","frc3560",12.9507986296819,2.6732427075639,0.278898238398496,"0","0",11.0807611471934,1.64444476746035,"0.5","0.5",0.206415278625142,"0.0227652235216208"
"10","frc4069",44.6006203640379,12.7820885403742,0.787053027268454,"0.75","0.666666666666667",25.2356395249463,5.28758154423879,"1","0.916666666666667",0.286589927136543,"1.37189978955457"
"11","frc4152",46.9114634575815,13.9333895870857,1.36546150986435,"0.25","0.166666666666667",26.6354994389507,5.3350964806359,"0.666666666666667","0.5",0.297014600699563,"1.42946497305343"
"12","frc5672",18.3023873733447,6.323845436182,0.892973555393151,"0","0",10.0619653804956,2.96239085207327,"0.333333333333333","0.25",0.345520248653022,"0.263423774206051"
"13","frc5834",25.8579138304696,5.14698249978907,0.797333955522966,"0","0",12.7842813018546,2.01902112632777,"0.5","0.25",0.199048636851908,"0.541759976758362"
"14","frc5870",18.7200415752259,8.15122826622054,0.98452424291648,"0.416666666666667","0.416666666666667",7.05238558615895,2.56686274459358,"0.75","0.5",0.435427893333736,"0.613577773982111"
"15","frc610",55.2745254780843,17.7151690280671,1.28123414028218,"0.833333333333333","0.583333333333333",23.9978514962492,6.62127444447088,"1","0.75",0.320494276067389,"1.58534618427629"
"16","frc6110",11.9622106181985,4.64007982923148,0.675658501223808,"0","0",7.75516583809162,1.20737677893958,"0.833333333333333","0.583333333333333",0.387894844634517,"-0.405996730380189"
"17","frc6514",20.6898774405268,4.77219556863723,0.859990024359256,"0","0",13.4754489647549,3.35255316752095,"0.916666666666667","0.666666666666667",0.230653641248236,"0.192530199277196"
"18","frc6859",11.1545492896719,6.39297811933965,0.579789739244049,"0","0",5.57911028724574,1.2400054281152,"0.166666666666667","0.0833333333333333",0.573127425709525,"0.194892470033053"
"19","frc6864",16.1360425011696,3.55711813558156,0.62912867529001,"0","0",10.5388384314801,2.30574616141954,"0.5","0.333333333333333",0.220445511055373,"0.185735854481793"
"20","frc6865",16.1990158888255,5.07013928158288,0.605146044272317,"0","0",9.37029000511742,1.79809231799279,"0.416666666666667","0.166666666666667",0.312990574018784,"0.145925407899226"
"21","frc6987",16.6169992397622,4.50088440492328,-0.162415128595729,"0.25","0.25",11.5528641535838,1.74797541143888,"0.5","0.416666666666667",0.270860240166183,"0.383277537130009"
"22","frc7476",24.4230527965211,7.53956969618502,0.802481299330485,"0.0833333333333333","0",12.0641126377543,3.31758407480312,"0.5","0.25",0.308707095669014,"0.130044785655678"
"23","frc771",7.34575134565555,5.31188991012539,0.366226769388972,"0","0",2.90776364354912,0.760526447928968,"0.5","0.333333333333333",0.723124110819102,"-0.0749700600736413"
"24","frc7757",22.527216824106,6.40243236101201,0.672635848877956,"0","0",16.0729038245876,2.63864314035456,"0.833333333333333","0.833333333333333",0.284208760052457,"0.367930414247423"
"25","frc865",38.9832959353844,10.0118241781814,0.957443765763342,"0.583333333333333","0.5",22.0324562840011,4.06702444899414,"1","0.75",0.256823440346762,"0.738825573248257"
"26","frc8729",31.1519276984268,9.87134388955239,0.796184010745014,"0.666666666666667","0.666666666666667",13.8807908353412,4.25995561584735,"0.75","0.75",0.31687746534064,"1.08883685680613"
"27","frc8731",8.45695583278722,0.945615353616958,0.133568391955835,"0","0",7.33369499237496,1.46046413370494,"0.0833333333333333","0.0833333333333333",0.111815098992341,"-0.292674572558026"
"28","frc9127",5.34466218566352,0.726792397792472,-0.251795380658966,"0","0",5.03823484831536,1.15656148214785,"0.0833333333333333","0.0833333333333333",0.135984721306056,"-0.127882579954162"
