"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","blue","frc888","frc4541","frc612","55","8","39","3"
"2","19","red","frc116","frc4541","frc1727","60","14","46","1"
"3","27","red","frc401","frc422","frc4541","86","24","62","4"
"4","34","red","frc6194","frc4541","frc2377","54","10","44","3"
"5","42","blue","frc5549","frc4541","frc1719","46","12","34","1"
"6","52","blue","frc4541","frc2537","frc5804","54","8","46","1"
"7","67","red","frc4541","frc2186","frc2363","89","28","49","3"
"8","74","blue","frc4541","frc384","frc1731","115","22","85","4"
"9","81","red","frc4638","frc122","frc4541","78","14","64","4"
"10","91","blue","frc623","frc1610","frc4541","108","22","78","4"
"11","102","blue","frc4541","frc1885","frc5587","92","34","54","4"
"12","112","red","frc3748","frc1086","frc4541","87","16","59","3"
