"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","8","blue","frc116","frc122","frc449","70","12","58","2"
"2","18","blue","frc449","frc1908","frc3136","99","22","73","4"
"3","27","blue","frc449","frc3939","frc6194","68","14","54","2"
"4","36","red","frc449","frc5338","frc686","62","20","42","2"
"5","48","blue","frc6326","frc449","frc620","73","6","67","1"
"6","60","red","frc836","frc449","frc6802","119","38","77","4"
"7","68","blue","frc2914","frc1599","frc449","75","26","49","4"
"8","79","red","frc888","frc4286","frc449","71","14","45","1"
"9","86","red","frc449","frc8592","frc4821","62","10","48","1"
"10","100","red","frc8622","frc7770","frc449","53","12","33","1"
"11","110","blue","frc612","frc449","frc2186","45","12","33","1"
"12","117","red","frc1610","frc449","frc401","107","26","81","4"
